ܐܦܪܝܩܐ	África
ܝܦܢ	Japão
ܐܡܪܝܩܐ ܬܝܡܢܝܬܐ	América do Sul
ܢܘܪܒܝܓ	Noruega
ܩܘܛܢܝܘܬܐ ܕܐܝܪܠܢܕ	República da Irlanda
ܡܓܪ	Hungria
ܐܣܦܢܝܐ	Espanha
ܐܘܚܕܢܐ ܡܚܝܕܐ	Estados Unidos
ܒܠܓܝܩܐ	Bélgica
ܠܘܟܣܡܒܘܪܓ	Luxemburgo
ܬܒܝܠ	Universo
ܐܪܥܐ	Terra
ܡܘܬܐ	Morte
ܒܪ ܐܢܫܐ	Homo sapiens
ܓܘܪܓ ܘܐܫܝܢܓܛܘܢ	George Washington
ܦܝܢܠܢܕ	Finlândia
ܣܘܝܕ	Suécia
ܕܐܢܡܐܪܩ	Dinamarca
ܦܘܠܢܕ	Polónia
ܠܬܘܢܝܐ	Lituânia
ܐܝܛܠܝܐ	Itália
ܣܘܝܣܪܐ	Suíça
ܢܡܣܐ	Áustria
ܝܘܢ	Grécia
ܛܘܪܩܝܐ	Turquia
ܦܘܪܛܘܓܠ	Portugal
ܐܘܪܘܦܐ (ܝܒܫܬܐ)	Europa
ܐܣܝܐ (ܝܒܫܬܐ)	Ásia
ܐܡܪܝܩܐ ܓܪܒܝܝܬܐ	América do Norte
ܐܢܛܐܪܩܛܝܩܐ	Antártida
ܘܝܩܝܦܕܝܐ	Wikipédia
ܗܘܠܢܕܐ	Países Baixos
ܢܝܘ ܝܘܪܩ (ܡܕܝܢܬܐ)	Nova Iorque
ܘܐܫܢܓܛܘܢ (ܐܪܫܟܝܬܐ)	Washington, D.C.
ܒܪܠܝܢ	Berlim
ܚܫܘܒܐ (ܡܐܟܢܐ)	Computador
ܒܪܢ	Berna
ܬܣܝܪܝܟ	Zurique
ܐܢܛܪܢܛ	Internet
ܒܪܐܩ ܐܘܒܐܡܐ	Barack Obama
ܠܘܢܕܘܢ	Londres
ܐܠܟܣܢܕܪܝܐ	Alexandria
ܚܙܘܪܐ	Maçã
ܦܐܪܝܣ	Paris
ܡܟܣܝܩܘ	México
ܐܘܩܝܢܘܣ ܐܛܠܢܛܝܐ	Oceano Atlântico
ܐܘܩܝܢܘܣ ܫܝܢܝܐ	Oceano Pacífico
ܒܘܣܛܘܢ	Boston
ܬܪܝܢܒܫܒܐ	Segunda-feira
ܟܢܘܢ ܒ	Janeiro
ܫܒܛ	Fevereiro
ܐܕܪ	Março
ܟܘܫ	Etiópia
ܢܝܣܢ	Abril
ܐܝܪ	Maio
ܚܙܝܪܢ	Junho
ܬܡܘܙ	Julho
ܐܒ	Agosto
ܐܝܠܘܠ	Setembro
ܬܫܪܝܢ ܐ	Outubro
ܬܫܪܝܢ ܒ	Novembro
ܟܢܘܢ ܐ	Dezembro
ܬܠܬܒܫܒܐ	Terça-feira
ܐܪܒܥܒܫܒܐ	Quarta-feira
ܚܡܫܒܫܒܐ	Quinta-feira
ܥܪܘܒܬܐ	Sexta-feira
ܫܒܬܐ (ܙܒܢܐ)	Sábado
ܚܕܒܫܒܐ	Domingo
ܐܪܝܐ	Leão
ܦܪܢܣܐ	França
ܟܠܒܐ	Canis lupus familiaris
ܡܠܟܘܬܐ ܡܚܝܕܬܐ	Reino Unido
ܩܛܐ	Gato
ܩܘܛܢܝܘܬܐ ܥܡܡܝܬܐ ܕܨܝܢ	República Popular da China
ܠܫܢܐ ܦܪܢܣܝܐ	Língua francesa
ܒܪܐܙܝܠ	Brasil
ܪܘܣܝܐ	Rússia
ܝܡܐ	Mar
ܝܡܐ ܐܘܟܡܐ	Mar Negro
Π	Π
ܐܠܒܐܡܐ	Alabama
ܣܐܘ ܦܐܘܠܘ	São Paulo (cidade)
ܩܝܒܩ (ܗܘܦܪܟܝܐ)	Quebec
ܓܪܡܢ	Alemanha
ܒܠܐܪܘܣ	Bielorrússia
ܠܫܢܐ ܓܪܡܢܝܐ	Língua alemã
ܐܠܗܐ	Deus
ܐܣܛܘܢܝܐ	Estónia
ܛܝܣܬܐ	Avião
ܩܪܒܐ	Guerra
1 (ܡܢܝܢܐ)	Um
2 (ܡܢܝܢܐ)	Dois
3 (ܡܢܝܢܐ)	Três
4 (ܡܢܝܢܐ)	Quatro
5 (ܡܢܝܢܐ)	Cinco
ܠܐܛܒܝܐ	Letónia
ܐܘܩܪܐܝܢܐ	Ucrânia
ܬܫܝܟ	República Checa
ܣܠܘܒܩܝܐ	Eslováquia
ܣܠܘܒܢܝܐ	Eslovénia
ܡܘܠܕܘܒܐ	Moldávia
ܪܘܡܢܝܐ	Roménia
ܒܘܠܓܐܪܝܐ	Bulgária
ܪܗܘܡܐ (ܡܕܝܢܬܐ)	Roma
ܩܘܛܢܝܘܬܐ ܕܡܩܕܘܢܝܐ	República da Macedónia
ܐܠܒܢܝܐ	Albânia
ܩܪܘܐܛܝܐ	Croácia
ܒܘܣܢܐ ܘܗܪܬܣܓܘܒܝܢܐ	Bósnia e Herzegovina
ܐܙܪܒܝܓܐܢ	Azerbaijão
ܐܢܕܘܪܐ	Andorra
ܩܘܦܪܘܣ	Chipre
ܓܘܪܓܝܐ (ܐܬܪܐ)	Geórgia
ܩܙܩܣܛܐܢ	Cazaquistão
ܡܝܠܛܐ	Malta
ܡܘܢܐܩܘ	Mónaco
ܛܘܪܐ ܐܘܟܡܐ	Montenegro
ܡܕܝܢܬܐ ܕܘܛܝܩܢ	Vaticano
ܣܢ ܡܪܝܢܘ	San Marino
ܒܪܘܟܣܠ	Bruxelas
ܠܘܕܒܝܓ ܒܐܢ ܒܝܛܗܘܒܢ	Ludwig van Beethoven
ܠܫܢܐ ܛܘܪܩܝܐ	Língua turca
ܓܙܐܐܪ	Argélia
ܐܘܙܒܩܣܛܐܢ	Uzbequistão
ܘܐܪܣܘ	Varsóvia
ܚܡܪܐ (ܫܬܝܐ)	Vinho
ܡܝܐ	Água
ܦܪܣ ܚܙܘܐ	Televisão
ܬܫܝܠܝ	Chile
ܐܠ ܓܪܝܩܘ	El Greco
ܝܫܘܥ	Jesus
ܠܫܢܐ (ܡܡܠܠܐ)	Linguagem
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	Ditadura
ܡܡܠܠܘܬ ܟܘܟܒܐ	Astronomia
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	Maria (mãe de Jesus)
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Língua latina
ܒܚܪܝܢ	Bahrein
ܐܪܡܢܝܐ	Arménia
ܣܪܒܝܐ	Sérvia
ܣܗܪܐ	Lua
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istambul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Austrália
ܦܝܣܝܟ	Física
ܩܘܪܐܢ	Alcorão
ܐܣܠܐܡ	Islão
ܟܡܬܪܐ	Pera
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Paz
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	União Europeia
ܐܢܬܬܐ	Mulher
ܛܝܙܐ	Ânus
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Axila
ܗܒܒܐ	Flor
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomia
ܡܕܝܢܬܐ	Cidade
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleão Bonaparte
ܟܘܟܒܐ	Estrela
ܫܡܫܐ	Sol
ܩܪܝܬܐ	Aldeia
ܝܡܐ ܕܡܕܢܚܐ	Mar Báltico
ܫܢܐ	Dente
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Livro
ܝܘܡܐ	Dia
ܠܠܝܐ	Noite
ܫܢܬܐ (ܙܒܢܐ)	Ano
ܕܪܐ	Século
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lisboa
ܦܠܝܛܐ	Planeta
ܙܡܪܘܬܐ	Música
ܡܘܣܩܒܐ	Moscovo
ܠܫܢܐ ܐܝܛܠܝܐ	Língua italiana
ܬܫܐܕ	Chade
ܬܝܡܢܐ	Norte
ܢܝܘ ܙܝܠܢܕ	Nova Zelândia
ܓܪܒܝܐ	Sul
ܗܢܕܘ	Índia
ܦܪܙܠܐ	Ferro
ܡܥܪܒܐ	Oeste
ܡܕܢܚܐ	Leste
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Xadrez
ܡܝܢ	Maine
ܣܘܣܝܐ	Equus ferus caballus
ܐܡܣܛܪܕܐܡ	Amesterdão
ܙܝܢܐ	Arma
ܚܝܘܬܐ	Animalia
ܩܘܠܘܡܒܝܐ	Colômbia
ܢܝܘ ܗܐܡܦܫܪ	Nova Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (província)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Irão
ܥܝܪܐܩ	Iraque
ܐܠܐܣܟܐ	Alasca
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Iémen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Língua polaca
ܝܘܪܕܢܢ	Jordânia
ܩܝܪܓܝܙܣܛܐܢ	Quirguistão
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Líbano
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	América
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Omã
ܦܐܩܣܛܐܢ	Paquistão
