Saot Amerika	América do Sul
Norway	Noruega
Ireland	República da Irlanda
Hungary	Hungria
Spain	Espanha
Yunaeted Stet blong Amerika	Estados Unidos
Belgium	Bélgica
Luxembourg	Luxemburgo
Finland	Finlândia
Sweden	Suécia
Denmark	Dinamarca
Poland	Polónia
Litwania	Lituânia
Itali	Itália
Switzerland	Suíça
Austria	Áustria
Greece	Grécia
Turkey	Turquia
Portugal	Portugal
Yurop	Europa
Esia	Ásia
Wikipedia	Wikipédia
Netherlands	Países Baixos
Berlin	Berlim
Barak Obama	Barack Obama
Uruguay	Uruguai
London	Londres
Paris	Paris
Mexico	México
Pasifik	Oceano Pacífico
Kalifornia	Califórnia
Boston, Massachusetts	Boston
Franis	França
Unaeted Kingdom	Reino Unido
China	República Popular da China
Brazil	Brasil
Rusia	Rússia
Alabama	Alabama
Germany	Alemanha
Belarus	Bielorrússia
Iceland	Islândia
Estonia	Estónia
David Cameron	David Cameron
Wan	Um
Tu	Dois
Tri	Três
Fo	Quatro
Faef	Cinco
Latvia	Letónia
Ukraine	Ucrânia
Czechia	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Romania	Roménia
Bulgaria	Bulgária
Rome	Roma
Macedonia	República da Macedónia
Albania	Albânia
Croatia	Croácia
Bosnia and Herzegovina	Bósnia e Herzegovina
Azerbaijan	Azerbaijão
Andorra	Andorra
Cyprus	Chipre
Georgian Republic	Geórgia
Kazakhstan	Cazaquistão
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatican Siti	Vaticano
San Marino	San Marino
Indonesia	Indonésia
Warsaw	Varsóvia
Wota	Água
Chile	Chile
Jisas Kraes	Jesus
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapura
Saens	Ciência
Liechtenstein	Liechtenstein
Spot	Desporto
Wol Wo Tu	Segunda Guerra Mundial
Armenia	Arménia
Serbia	Sérvia
Ostrelia	Austrália
Argentina	Argentina
Peru	Peru
Baeoloji	Biologia
Islam	Islão
Boteni	Botânica
Flaoa	Flor
Wikimidia Commons	Wikimedia Commons
Moskow	Moscovo
San-Peterburg	São Petersburgo
Niu Zilan	Nova Zelândia
India	Índia
Aean	Ferro
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papua-Nova Guiné
Venezuela	Venezuela
Maine	Maine
Animol	Animalia
Paraguay	Paraguai
Colombia	Colômbia
Budisim	Budismo
Bolivia	Bolívia
Niu Hampshire	Nova Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Havaí
Alaska	Alasca
Florida	Flórida
Arizona	Arizona
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Myanmar
Vietnam	Vietname
Saot Koria	Coreia do Sul
Bangladesh	Bangladesh
Bhutan	Butão
Twitter	Twitter
Julius Caesar	Júlio César
Yunaeted Nesen	Organização das Nações Unidas
Jiografi	Geografia
Bren	Cérebro
Prague	Praga
Michigan	Michigan
Illinois	Illinois
Not Dakota	Dakota do Norte
Saut Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington
Nevada	Nevada
Colorado	Colorado
Delhi	Deli
Virginia	Virgínia
West Virginia	Virgínia Ocidental
Niu York (Bundesstaat)	Nova Iorque (estado)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pensilvânia
Uetersen	Uetersen
Augustus	Augusto
Niu Yersey	Nova Jérsia
Indiana	Indiana
Georgia	Geórgia (Estados Unidos)
Texas	Texas
Not Carolina	Carolina do Norte
Saut Carolina	Carolina do Sul
Barcelona	Barcelona
Mississippi	Mississippi
Tennessee	Tennessee
Niu Mexico	Novo México
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Língua hindi
Missouri	Missouri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Vienna	Viena
Stockholm	Estocolmo
Wrocław	Breslávia
Baebol	Bíblia
Ho Chi Minh City	Cidade de Ho Chi Minh
Tru Jisas Jioj	Verdadeira Igreja de Jesus
Andorra la Vella	Andorra-a-Velha
Dong Hoi	Dong Hoi
Concepción	Concepción (Chile)
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Química
Madrid	Madrid
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco
Curitiba	Curitiba
Confucius	Confúcio
Category:Matematikis	Categoria:Matemática
Faroe aelan	Ilhas Feroe
Kristaniti	Cristianismo
Céline Dion	Céline Dion
Kontinen	Continente
Kapitol	Capital
Monzón	Monzón
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Nambawan Pej	Wikipédia:Página principal
Template:Gud atikel	Predefinição:Artigo bom
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
Kaontri	País
Indianapolis, Indiana	Indianápolis
Elmshorn	Elmshorn
Qin Shi Huang	Qin Shihuang
Ae	Olho
Kamel	Camelo
Obesin	Beringela
Dakdak	Anatidae
Toktok Rusia	Língua russa
Nelson Mandela	Nelson Mandela
Volkeno	Vulcão
Bigwin	Ciclone tropical
Category:Franis	Categoria:França
Kofi	Café
Seoul	Seul
Toktok Ukraine	Língua ucraniana
Dipsi	Oceano
Buddha	Sidarta Gautama
Muhammed	Maomé
Martin Luther	Martinho Lutero
Michael Schumacher	Michael Schumacher
Elisabet II	Isabel II do Reino Unido
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Categoria:Venezuela
Lugo	Lugo (Galiza)
Category:Brazil	Categoria:Brasil
Oktri	Carvalho
Kanal	Canal
Leji	Litchi chinensis
Kokonas	Coqueiro
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Mérida	Mérida (Espanha)
Template:Link FA	Predefinição:Link FA
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix (Arizona)
Austin, Texas	Austin
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Bandeira da Rússia
Sacramento, Kalifornia	Sacramento (Califórnia)
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence
Naen	Nove
Bien Hoa	Bien Hoa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipédia:Artigos bons
Breinigerberg	Breinigerberg
Moai	Moai
Daejeon	Daejeon
Sejong	Cidade de Sejong
Incheon	Incheon
Nashville, Tennessee	Nashville (Tennessee)
Sol Lek Siti	Salt Lake City
Seven	Sete
Eit	Oito
Lord's Prayer	Pai Nosso
Galik	Alho
Kukamba	Pepino
Sikis	Seis
Moshchena	Mostchena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	Dez
Albany, Niu York	Albany (Nova Iorque)
Ca Mau	Cà Mau (cidade)
Harrisburg, Pennsylvania	Harrisburg
Da Lat	Da Lat
Phan Thiet	Phan Thiet
Hoknaet	Coruja-das-torres
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton (Nova Jersey)
Thai Nguyen	Thái Nguyên (cidade)
Jefferson City, Missouri	Jefferson City
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing
Concord, New Hampshire	Concord (Nova Hampshire)
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis (Maryland)
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort (Kentucky)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery (Alabama)
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock
Buon Ma Thuot	Buon Ma Thuot
Hartford, Connecticut	Hartford
Dover, Delaware	Dover (Delaware)
Tok Pisin	Língua tok pisin
Anastacia	Anastacia
Yufreres	Rio Eufrates
Vinh Long	Vinh Long (cidade)
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Língua bislamá
Boise, Idaho	Boise
Al Bayda	Al Bayda' (Líbia)
Bambu	Bambu
Port Moresby	Port Moresby
Ben Tre	Ben Tre (cidade)
Arancón	Arancón
Twelef	Doze
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (Dacota do Norte)
Leven	Onze
Avoka	Persea americana
Cleveland, Ohio	Cleveland
John Calvin	João Calvino
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
