ཨ་ཧྥེ་རི་ཁ།	África
ཉི་ཧོང་།	Japão
ནོར་ཝེ།	Noruega
སི་ཁོ་ཁྲི་ལན་ཌི།	Escócia
ཨར་ལེན་ཌ།	República da Irlanda
ཧུང་གྷ་རི།	Hungria
ཞི་པན་ཡ།	Espanha
ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Estados Unidos
པེར་ཅིན།	Bélgica
ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Luxemburgo
སའི་གོ་ལ།	Terra
འཚོ་བ།	Vida
ཤི་བ།	Morte
འགྲོ་བ་མི།	Homo sapiens
དགའ་སྐྱིད།	Felicidade
ཧྥིན་ལན།	Finlândia
སི་ཝེ་དེན།	Suécia
དན་མྲག	Dinamarca
ཕོ་ལན།	Polónia
ལི་ཐུ་ཨེ་ནི་ཡ།	Lituânia
ཨི་ཏ་ལི།	Itália
སུད་སི།	Suíça
ཨོ་སི་ཐྲི་ཡ།	Áustria
ཀེ་རི་སི།	Grécia
ཏུར་ཀི།	Turquia
སྦི་རག	Cerveja
པོ་ཅུ་གྷལ།	Portugal
ཡོ་རོབ་གླིང་།	Europa
ཨེ་ཤེ་ཡ།	Ásia
ལྷོ་མཐའི་གླིང་།	Antártida
ཧོ་ལན།	Países Baixos
ནེའུ་ཡོར་ཀ།	Nova Iorque
ཝ་ཤིན་ཏྲོན།	Washington, D.C.
སན་ཧྥུ་རན་སིས་ཁོ	São Francisco (Califórnia)
པེར་ལིན།	Berlim
གློག་ཀླད།	Computador
པེར་ནེ།	Berna
ཀྲེ་ནེ་ཝ།	Genebra
བ་རག་ཨོ་པྰ་མ།	Barack Obama
ཨུ་རུ་གུ་ཡེ།	Uruguai
པ་སེལ།	Basileia
ལོན་ཊོན།	Londres
ཁ་ཡི་རོ	Cairo
ཡ་ལི་ཧྲན་ད	Alexandria
ཕ་རི།	Paris
མེག་སི་ཀོ།	México
ནུབ་རྒྱ་མཚོ་ཆེན་པོ།	Oceano Atlântico
ཞི་བདེ་རྒྱ་མཚོ་ཆེན་པོ།	Oceano Pacífico
ཁྰ་ལེ་ཧྥོར་ནི་ཡ།	Califórnia
བོ་སེ་ཊོན།	Boston
གཟའ་ཟླ་བ།	Segunda-feira
མིག་དམར།	Marte (planeta)
མ་ཨེར་སི།	Marte (mitologia)
ཁེ་ནི་ཡ།	Quénia
ཨི་ཐི་ཨོ་པི་ཡ།	Etiópia
ཀ་ན།	Gana
གཟའ་མིག་དམར།	Terça-feira
གཟའ་ལྷག་པ།	Quarta-feira
གཟའ་ཕུར་བུ།	Quinta-feira
གཟའ་པ་སངས།	Sexta-feira
གཟའ་སྤེན་པ།	Sábado
གཟའ་ཉི་མ།	Domingo
སེང་གེ།	Leão
ཧྥ་རན་སི།	França
ཁྱི།	Canis lupus familiaris
དབྱིན་ཇི་མཉམ་འབྲེལ།	Reino Unido
ཞི་མི།	Gato
ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ།	República Popular da China
ཧྥ་རན་སིའི་སྐད།	Língua francesa
ཉ།	Peixe
ཨ་རག་ཉིང་ཁུ།	Etanol
པུ་རུ་ཟིལ།	Brasil
ཧྥ་རན་སུའཱ་ཨོ་ལན་དེ།	François Hollande
ཨུ་རུ་སུ།	Rússia
ཕའེ།	Π
ཨ་ལ་པ་མ།	Alabama
སན་པའུ་ལོ་	São Paulo (cidade)
འཇར་མན།	Alemanha
བྷེ་ལ་རསུ།	Bielorrússia
འཇར་མན་སྐད།	Língua alemã
ཨཡིསུ་ལེན་ཌ།	Islândia
ཨིསུ་ཊོ་ནིཡ།	Estónia
སྤེན་པ།	Saturno (planeta)
སྤེན་པའི་གདུབ་ཀོར།	Anéis de Saturno
དམག་འཁྲུག	Guerra
༡ (གྲངས་ཀ།)	Um
༢ (གྲངས་ཀ།)	Dois
༣ (གྲངས་ཀ།)	Três
༤ (གྲངས་ཀ།)	Quatro
༥ (གྲངས་ཀ།)	Cinco
༠ (གྲངས་ཀ།)	0 (número)
ལ་ཊ་ཝིཡ།	Letónia
ཨུཀ་རཡི་ནི།	Ucrânia
ཅེ་ཁེ།	República Checa
སི་ལོ་ཕ་ཁེ།	Eslováquia
སི་ལོ་ཝེ་ནི་ཡ།	Eslovénia
ལྦེ་ནི་སུ་ནི།	Vilnius
མོལ་དོ་ཝ།	Moldávia
རོ་མ་ནི་ཡ།	Roménia
པུ་ར་ག་རི་ཡ།	Bulgária
རོ་མ།	Roma
མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	República da Macedónia
ཨལ་པ་ཉི་ཡ།	Albânia
གེ་རེན་ལ	Gronelândia
ཁུརོ་ཤི་ཡ།	Croácia
བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	Bósnia e Herzegovina
ཨ་ཛར་བཡི་ཇན།	Azerbaijão
ཨན་ཌོར་ར།	Andorra
སེ་པི་རི་སི།	Chipre
འཇོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	Geórgia
ཀཛ་ཀིསུ་གཏན།	Cazaquistão
མལ་ཏ།	Malta
མོ་ན་ཁོ།	Mónaco
མོན་ཊེནིག་རོ།	Montenegro
ཝ་ཏི་ཀན་གྲོང་ཁྱོར།	Vaticano
སན་མ་རི་ནོ།	San Marino
པུའུ་ལུའུ་སེལ​།	Bruxelas
ཀུ་བ།	Cuba
བེ་ལི་ཛི།	Belize
བར་བ་ཌོ་སི།	Barbados
ཨིན་རྡུ་ནི་ཤིས་ཡ།	Indonésia
ལྷོ་ཨ་ཧྥེ་རི་ཁ།	África do Sul
ཨཱལ་ཇི་རི་ཡ།	Argélia
ཨུ་ཟ་བྷེ་ཁི་སི་ཐན།	Uzbequistão
ཕྰོ་ཟོ་ནན།	Poznań
ཐ་ཧྲི་ཀན།	Tashkent
ཝར་སོ།	Varsóvia
ཆུ།	Água
ཆགས།	Sexo
ཆགས་སློང་རྩོམ་རིག	Pornografia
ཁ་ལའོ་ཊ་མོ་ནེ།	Claude Monet
ཅི་ལི།	Chile
ཡེ་ཤུ།	Jesus
ཨེལ་ཝེ་སི་ཕིར་ཟི་ལཱེ།	Elvis Presley
གཱ་ལི་ལེའོ་གཱ་ལི་ལེའི།	Galileu Galilei
ལྷག་པ།	Mercúrio (planeta)
ལོ་རྒྱུས།	História
པ་སངས།	Vénus (planeta)
སྐད་རིགས།	Linguagem
བརྩེ་དུང་།	Amor
ཕུར་བུ།	Júpiter (planeta)
སྐར་མ་གནམ་རྒྱལ།	Urano (planeta)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Netuno (planeta)
སེང་ག་ཕོར།	Singapura
