Afrika	África
Japan	Japão
Suamerika	América do Sul
Norvegia	Noruega
Bro-Saoz	Inglaterra
Bro-Skos	Escócia
Kembre	País de Gales
Norzhiwerzhon	Irlanda do Norte
Republik Iwerzhon	República da Irlanda
Hungaria	Hungria
Spagn	Espanha
Stadoù-Unanet Amerika	Estados Unidos
Belgia	Bélgica
Luksembourg (bro)	Luxemburgo
Hollved	Universo
Douar (planedenn)	Terra
Buhez	Vida
Marv	Morte
Den	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Leet speak	Leet
Stanley Kubrick	Stanley Kubrick
Finland	Finlândia
Sveden	Suécia
Danmark	Dinamarca
Polonia	Polónia
Lituania	Lituânia
Italia	Itália
Suis	Suíça
Aostria	Áustria
Gres (bro)	Grécia
Turkia	Turquia
Bier	Cerveja
Portugal	Portugal
Europa (kevandir)	Europa
Azia	Ásia
Norzhamerika	América do Norte
Antarktika	Antártida
Wikipedia	Wikipédia
Izelvroioù	Países Baixos
Kalc'h	Pênis
Lavar PHP	PHP
New York	Nova Iorque
Washington D.C.	Washington, D.C.
San Francisco (Kalifornia)	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles (Kalifornia)	Los Angeles
Urzhiataer	Computador
Bern	Berna
Geneva	Genebra
Zürich	Zurique
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
Moullerez	Impressora
Londrez	Londres
Kaero	Cairo
Aleksandria	Alexandria
Alexandria (Virginia)	Alexandria (Virgínia)
Aval	Maçã
Pariz	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mec'hiko	México
Meurvor Atlantel	Oceano Atlântico
Meurvor Habask	Oceano Pacífico
Kalifornia	Califórnia
Boston	Boston
Lun (deiz)	Segunda-feira
Egor	Espaço físico
Genver	Janeiro
C'hwevrer	Fevereiro
Meurzh (miz)	Março
Meurzh (planedenn)	Marte (planeta)
Meurzh (doue)	Marte (mitologia)
Kenya	Quénia
Etiopia	Etiópia
Ghana	Gana
Ebrel	Abril
Mae	Maio
Mezheven	Junho
Gouere	Julho
Eost	Agosto
Gwengolo	Setembro
Here	Outubro
Du	Novembro
Kerzu	Dezembro
Meurzh (deiz)	Terça-feira
Merc'her (deiz)	Quarta-feira
Yaou (deiz)	Quinta-feira
Gwener (deiz)	Sexta-feira
Sadorn (deiz)	Sábado
Sul (deiz)	Domingo
Leon (loen)	Leão
Bro-C'hall	França
Esperanteg	Esperanto
Ki	Canis lupus familiaris
Rouantelezh-Unanet	Reino Unido
Kazh	Gato
Republik Pobl Sina	República Popular da China
Galleg	Língua francesa
Wikeriadur	Wikcionário
Pesk	Peixe
Etanol	Etanol
Brazil	Brasil
Alkool	Álcool
François Hollande	François Hollande
Rusia	Rússia
Morvil	Cetáceos
Yorkshire	Yorkshire (Inglaterra)
Karrez	Quadrado
Mor	Mar
Mor Du	Mar Negro
Pi (lizherenn)	Π
Mangez	Manga (fruta)
Wiki	Wiki
Toronto	Toronto
Alabama (stad)	Alabama
São Paulo (kêr)	São Paulo (cidade)
São Paulo (stad)	São Paulo
Kebek	Quebec
Pizza	Pizza
Wikimedia Foundation	Wikimedia
Jimmy Wales	Jimmy Wales
Alamagn	Alemanha
Belarus	Bielorrússia
Alamaneg	Língua alemã
Island	Islândia
Doue	Deus
Estonia	Estónia
David Cameron	David Cameron
Sadorn (planedenn)	Saturno (planeta)
Chokolad	Chocolate
Nijerez	Avião
Brezel	Guerra
Unan	Um
Daou	Dois
Tri	Três
Pevar	Quatro
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Skouergorneg	Retângulo
Latvia	Letónia
Ukraina	Ucrânia
Republik Tchek	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Roumania	Roménia
Bulgaria	Bulgária
Roma	Roma
Republik Makedonia	República da Macedónia
Albania	Albânia
Greunland	Gronelândia
Kroatia	Croácia
Bosnia-ha-Herzegovina	Bósnia e Herzegovina
Nuuk	Nuuk
Azerbaidjan	Azerbaijão
Andorra	Andorra
Republik Kiprenez	Chipre
Jorjia (bro)	Geórgia
Wallonia	Valônia
Kazakstan	Cazaquistão
Malta	Malta
Flandrez	Flandres
Monako	Mónaco
Montenegro	Montenegro
Keoded ar Vatikan	Vaticano
San Marino	San Marino
Brusel	Cidade de Bruxelas
Rannvro Brusel-Kêr-benn	Bruxelas
Kuba	Cuba
Belize	Belize
Tour Eiffel	Torre Eiffel
Barbados	Barbados
Volkswagen	Volkswagen
Touchennaoueg (urzhiataerezh)	Teclado (informática)
Indonezia	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkeg	Língua turca
Suafrika	África do Sul
Jean-François Champollion	Jean-François Champollion
Aljeria	Argélia
Wikimammenn	Wikisource
Ouzbekistan	Uzbequistão
Poznań	Poznań
Tochkent	Tashkent
Varsovia	Varsóvia
Ìle	Islay
Eurovision	Festival Eurovisão da Canção
Modena	Módena
Wiski	Uísque
Gwin	Vinho
Dour	Água
Lêr	Couro
Koad	Madeira
Teurgn	Tours
Skinwel	Televisão
Reizh	Sexo
Pornografiezh	Pornografia
Islandeg	Língua islandesa
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Chile
El Greco	El Greco
Jezuz Nazaret	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileu Galilei
Merc'her (planedenn)	Mercúrio (planeta)
Istor	História
Apple	Apple
Gwener (planedenn)	Vénus (planeta)
Yezh	Linguagem
Karantez	Amor
Diktatouriezh	Ditadura
Galaksienn	Galáxia
Yaou (planedenn)	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Hent Sant-Jakez (galaksienn)	Via Láctea
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Big Bang	Big Bang
Ouran (planedenn)	Urano (planeta)
Breizh	Bretanha
Nicolas Sarkozy	Nicolas Sarkozy
Emgann Marignano	Batalha de Marignano
Neizhan (planedenn)	Netuno (planeta)
Steredoniezh	Astronomia
Singapour	Singapura
Skiant	Ciência
Ploudon (korrblanedenn)	Plutão
Montreal	Montreal
Poellad frank	Software livre
Kemper	Quimper
La Flèche	La Flèche
Mari, mamm Jezuz	Maria (mãe de Jesus)
Loeiz IX (Bro-C'hall)	Luís IX de França
Liechtenstein	Liechtenstein
Sport	Desporto
Cambridge	Cambridge
Park broadel Yellowstone	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanca Kastilha	Branca de Castela
Facebook	Facebook
WikiLeaks	WikiLeaks
Brezel-bed kentañ	Primeira Guerra Mundial
Eil Brezel-bed	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Augusto Pinochet	Augusto Pinochet
Wikiarroud	Wikiquote
Horolaj	Relógio
Ubuntu	Ubuntu
Skopje	Escópia
Gdynia	Gdynia
Linux	Linux
Valdemar	Valdemar
Bob Dylan	Bob Dylan
Szczecin	Estetino
Matematik	Matemática
Latin	Língua latina
Bahrein	Bahrein
Armenia	Arménia
Jenna Jameson	Jenna Jameson
Skritur gennheñvel	Escrita cuneiforme
Bozon Higgs	Bóson de Higgs
Serbia	Sérvia
Loar	Lua
Istanbul	Istambul
Aostralia	Austrália
Bob Marley	Bob Marley
Fizik	Física
Arc'hantina	Argentina
Pellgehenterezhioù	Telecomunicações
Perou	Peru
Bevoniezh	Biologia
Nijell dianavez	Objeto voador não identificado
Republik Poblel ha Demokratel Korea	Coreia do Norte
Kambodja	Camboja
Gourizad Kuiper	Cintura de Kuiper
Koran	Alcorão
Dinosaor	Dinossauros
Loenoniezh	Zoologia
Islam	Islão
Levraoueg Aleksandria	Biblioteca de Alexandria
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Louzawouriezh	Botânica
Lech Wałęsa	Lech Wałęsa
Rod	Roda
Georges Brassens	Georges Brassens
Peoc'h	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unaniezh Europa	União Europeia
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Ródano-Alpes
World Wide Web	World Wide Web
Maouez	Mulher
Sofia	Sófia
Ñ	Ñ
Derwal	Derval (Loire-Atlantique)
Don Quijote de la Mancha	Dom Quixote
Barzhoniezh	Poesia
Leziregezh	Preguiça
Bombezadennoù atomek Hiroshima ha Nagasaki	Bombardeamentos de Hiroshima e Nagasaki
Milano	Milão
Arthur Rimbaud	Arthur Rimbaud
Torino	Turim
Kaoc'h	Fezes
Fraezh	Ânus
Kazel	Axila
Suraval	Limão
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Bananez	Banana
Émile Zola	Émile Zola
666	666
Bleuñv	Flor
Gogol	Googol
Vladimir Vysotsky	Vladimir Vysotsky
Menez Everest	Monte Everest
Korfadurezh	Anatomia
Kêr	Cidade
Napoleon Iañ	Napoleão Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Steredenn	Estrela
Vesuvio	Vesúvio
Heol	Sol
Oabl	Céu
Louis Pasteur	Louis Pasteur
Bloavezh-gouloù	Ano-luz
Victor Hugo	Victor Hugo
Okeania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Atleterezh	Atletismo
Koskoriad an Heol	Sistema Solar
Mor Baltel	Mar Báltico
Trieste	Trieste
Stêr Wisła	Rio Vístula
Avenue des Champs-Élysées	Champs-Élysées
Oder	Rio Oder
Dant	Dente
Hidrogen	Hidrogénio
Patti Smith	Patti Smith
Heliom	Hélio
Ifern	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litiom	Lítio
Beriliom	Berílio
Levr	Livro
Deiz	Dia
Timor ar Reter	Timor-Leste
Noz	Noite
Bloaz	Ano
Kantved	Século
Łódź	Łódź
Menez Gwenn	Monte Branco
Roen	Reno
Oslo	Oslo
Bonn	Bona
Gouel an Hollsent	Dia de Todos-os-Santos
Katowice	Katowice
Toull du	Buraco negro
Luís de Camões	Luís de Camões
Gae	Gay
Keres (korrblanedenn)	Ceres (planeta anão)
Lisbon	Lisboa
Ron	Rio Ródano
Ì Chaluim Chille	Iona (Escócia)
136199 Eris	Éris (planeta anão)
Dubai	Dubai
Lionel Messi	Lionel Messi
Padova	Pádua
Bor	Boro
Nicolaus Copernicus	Nicolau Copérnico
Versailhez	Versalhes
Karbon	Carbono
Volga	Rio Volga
Nitrogen	Azoto
Bergamo	Bérgamo
Oksigen	Oxigénio
Football Club Internazionale Milano	Football Club Internazionale Milano
Jean Moulin	Jean Moulin
Neil Young	Neil Young
Planedenn	Planeta
Kleopatra VII	Cleópatra
Kate Bush	Kate Bush
Sonerezh	Música
Venezia	Veneza
Naruto	Naruto
Po	Rio Pó
Neva	Rio Neva
Roazhon	Rennes
Lille	Lille
Moskov	Moscovo
Fluor	Flúor
Italianeg	Língua italiana
Chihuahua (ki)	Chihuahua (cão)
Neon	Néon
Chihuahua (stad)	Chihuahua
Sant-Petersbourg	São Petersburgo
Tchad	Chade
Sodiom	Sódio
Norzh	Norte
Magneziom	Magnésio
Aluminiom	Alumínio
Zeland-Nevez	Nova Zelândia
Lugdunum	Lugduno
Su	Sul
India	Índia
Silisiom	Silício
Frankiom	Frâncio
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Komz-plaen	Prosa
Houarn	Ferro
Tonga	Tonga
Kornôg	Oeste
Alessandro Volta	Alessandro Volta
Sulfur	Enxofre
Samoa	Samoa
Reter	Leste
Inizi Salomon	Ilhas Salomão
Vanuatu	Vanuatu
Molière	Molière
Klor	Cloro
Delft	Delft
Papoua Ginea-Nevez	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Fablenn	Fábula
Zuid-Holland	Holanda do Sul
Palau	Palau
Argon	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kontadenn	Contos de fadas
Noord-Holland	Holanda do Norte
Stadoù Kevreet Mikronezia	Estados Federados da Micronésia
Potasiom	Potássio
Olympique lyonnais	Olympique Lyonnais
Zeeland	Zelândia (Países Baixos)
Kalsiom	Cálcio
Flevoland	Flevolândia
Plom	Chumbo
Inizi Marshall	Ilhas Marshall
Kiribati	Kiribati
Mongolia	Mongólia
Fidji	Fiji
Skandiom	Escândio
Titaniom	Titânio
Venezuela	Venezuela
Echedoù	Xadrez
Genghis Khan	Gengis Khan
Vanadiom	Vanádio
Maine (stad)	Maine
Krom	Crômio
Marc'h	Equus ferus caballus
Amsterdam	Amesterdão
Arm	Arma
Loen	Animalia
Surinam	Suriname
Manganez	Manganês
Paraguay	Paraguai
Guyana	Guiana
Arz	Arte
Ecuador	Equador
Reniom	Rênio
Croque-monsieur	Croque-monsieur
Kolombia	Colômbia
Kobalt	Cobalto
Jean Racine	Jean Racine
Wolfram (tungsten)	Tungstênio
Nikel	Níquel
Boudaegezh	Budismo
Groningen (kêr)	Groninga
Bolivia	Bolívia
Osmiom	Ósmio
Groningen (proviñs)	Groninga (província)
Kouevr	Cobre
Trinidad ha Tobago	Trinidad e Tobago
Plant	Plantae
Sant Visant hag an Inizi Granadinas	São Vicente e Granadinas
Zink	Zinco
New Hampshire	Nova Hampshire
Santez-Lusia (stad)	Santa Lúcia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ha Nevis	São Cristóvão e Nevis
Fungi	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaica
Grenada	Granada (país)
Friz	Frísia (província)
Massachusetts	Massachusetts
Drenthe	Drente
Overijssel	Overissel
Guatemala	Guatemala
Gelderland	Guéldria
Proviñs Utrecht	Utrecht (província)
Bahamas	Bahamas
Connecticut	Connecticut
Yar (evn)	Gallus gallus domesticus
Antigua ha Barbuda	Antígua e Barbuda
Hawaii	Havaí
Honduras	Honduras
Dominika	Dominica
Jerzenez	Jersey
Republik Dominikan	República Dominicana
Pemoc'h	Sus domesticus
Meurvor skornek Arktika	Oceano Ártico
Republik Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iran	Irão
Sotoni	Estupidez
Irak	Iraque
Alaska	Alasca
Assen	Assen
Costa Rica	Costa Rica
Israel	Israel
Utrecht (kêr)	Utrecht
Panamá	Panamá
Yemen	Iémen
Randstad	Randstad (região)
Lausanne	Lausana
Virus	Vírus
Poloneg	Língua polaca
Jordania	Jordânia
Nicaragua	Nicarágua
Florida	Flórida
Kirgizstan	Quirguistão
