Afrika	África
Japan	Japão
Južna Amerika	América do Sul
Norveška	Noruega
Engleska	Inglaterra
Škotska	Escócia
Vels	País de Gales
Sjeverna Irska	Irlanda do Norte
Republika Irska	República da Irlanda
Mađarska	Hungria
Španija	Espanha
Sjedinjene Američke Države	Estados Unidos
Belgija	Bélgica
Luksemburg	Luxemburgo
Svemir	Universo
Zemlja (planeta)	Terra
Život	Vida
Smrt	Morte
Čovjek	Homo sapiens
Triskaidekafobija	Triscaidecafobia
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikipodaci	Wikidata
Finska	Finlândia
Švedska	Suécia
Danska	Dinamarca
Poljska	Polónia
Litvanija	Lituânia
Italija	Itália
Švicarska	Suíça
Austrija	Áustria
Grčka	Grécia
Turska	Turquia
Pivo	Cerveja
Portugal	Portugal
Evropa	Europa
Azija	Ásia
Sjeverna Amerika	América do Norte
Antarktik	Antártida
Wikipedia	Wikipédia
Holandija	Países Baixos
Penis	Pênis
PHP	PHP
New York City	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Računar	Computador
Bern	Berna
Ženeva	Genebra
Zürich (grad)	Zurique
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugvaj	Uruguai
Basel	Basileia
Pisač	Impressora
MediaWiki	MediaWiki
London	Londres
Kairo	Cairo
Glavobolja	Cefaleia
Aleksandrija	Alexandria
Jabuka	Maçã
Pariz	Paris
Abraham Lincoln	Abraham Lincoln
Android (operativni sistem)	Android
Google	Google
Meksiko	México
Atlantski okean	Oceano Atlântico
Tihi okean	Oceano Pacífico
Kalifornija	Califórnia
Boston	Boston
Ponedjeljak	Segunda-feira
Prostor	Espaço físico
Januar	Janeiro
Februar	Fevereiro
Mart	Março
Mars	Marte (planeta)
Mars (mitologija)	Marte (mitologia)
Kenija	Quénia
Etiopija	Etiópia
Monarh (titula)	Monarca
Gana	Gana
April	Abril
Maj	Maio
Juni	Junho
Juli	Julho
August	Agosto
Septembar	Setembro
Oktobar	Outubro
Novembar	Novembro
Decembar	Dezembro
Utorak	Terça-feira
Srijeda	Quarta-feira
Četvrtak	Quinta-feira
Petak	Sexta-feira
Subota	Sábado
Nedjelja	Domingo
