ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Estados Unidos
ᐃᑕᓖ	Itália
ᑐᕒᑭ	Turquia
Atimw	Canis lupus familiaris
ᐱᔥᑎᑯᔮᐤ ᐊᔨᒧᐎᓐ	Língua francesa
ᓇᒣᔅ	Peixe
ᑯᐯᒃ	Quebec
ᓃᐲᔾ	Água
Wikipedia:Archives/ᐲᔖᑲᓐ	Couro
Star Wars	Star Wars
ᒌᔑᑳᐅᐲᓯᒽ	Sol
ᐱᓯᐢᑭᐤ	Animalia
ᐅᐲᑭᒋᑳᓇ	Plantae
Wikipedia:Archives/ᑳᔭᒦᒪᑲᐦᒡ	Rádio (telecomunicações)
ᑭᑲᓯᑲᒋ ᑌᐊᐁᓭᐊᕃ	Júlio César
Itasinâsowin	Cor
Estakok miroskamin	Primavera
Nipin	Verão
Takwakin	Outono
Wikipedia:Archives/ᕆᒧᔅᑭ	Rimouski
Wikipedia:Archives/ᐅᒑᐹᓂᔥ	Automóvel
ᐧᐁᒥᔥᑎᑯᔒᐤ ᐊᔨᒧᐧᐃᓐ	Língua inglesa
ᐅᓐᑌᕇᐤ	Ontário
ᒪᓂᑐᐸ	Manitoba
Category:Template	Categoria:!Predefinições Wikipédia
Wikipedia:Archives/ᐅᓴᔅᑯ	Osasco
ᑯᓐᕗᓯ	Confúcio
ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	Wikipédia:Página principal
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
ᐲᐧᓭᐋᐃᐦᑯᓈᐤ	Pão
Wikipedia:Archives/ᒎᒎᔑᓈᐴ	Leite
ᐧᐊᔒ	Montanha
ᑕᐧᔐᔫᓂᑯᒑᔥ	Esquilo-voador
ᒥᔥᑎᒄ	Árvore
Wikipedia:Archives/ᑳᒋᐦᑳᔥᑌᐦᑎᐦᒡ	Filme
Template:Link FA	Predefinição:Link FA
ᑳᐅᔅᑎᐦᑖᑯᓂᒋᐸᐦᑖᑦ	Moto de neve
ᒪᐦᐃᐦᑲᓐ	Lobo
Wikipedia:Archives/ᐯᔭᑯᔥᑌᐤ	Nove
Wikipedia:Archives/ᒪᔅᒋᓯᓐ	Sapato
Wikipedia:Archives/ᓃᐧᔖᔥᒡ	Sete
Wikipedia:Archives/ᓂᔮᓈᓀᐤ	Oito
ᐫᑦᕂᓇ	Entrena
Wikipedia:Archives/Sálená	Selena
Wikipedia:Archives/ᓕᓚ ᕤᐒᓄᔅ	Lila Downs
Kâ-isiwepahki	Estação do ano
ᐁᐧᐦᐁᐧᐤ	Anser caerulescens
ᒋᔮᐢᐠ	Larídeos
ᐧᑳᐦᐧᑳᐱᔒᔥ	Lepidoptera
ᓂᒋᒄ	Lontra-europeia
ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ'	Língua cree
Wikipedia:Archives/ᒥᑎᐦᒌ	Mão
ᐊᓂᔑᓈᐯᒧᐎᓐ	Língua ojíbua
Mos	Alce
ᐅᓵᐅᔅᒄ	Ursus arctos
Wikipedia:Archives/ᐃᔥᐧᑳᐦᑌᒻ	Porta
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	Dia dos Namorados
ᐊᑎᐦᒄ	Rena
Wikipedia:Archives/ᐱᔨᒌᔅ	Calça
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	Coiote
Wikipedia:Archives/ᓰᐲᓯᔅ	Córrego
ᐊᒥᔅᒄ	Castor
Template:Commonscat	Predefinição:Commonscat
Wikipedia:Archives/ᐸᒎᔮᓐ	Camisa
Amiskw	Castor-americano
Template:Ouvrage	Predefinição:Citar livro
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	Iglu
ᐃᔨᔨᐧᐊᒡ	Cree
Maskoretcic	Ursus americanus
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	Máquina de lavar roupa
Haliaeetus leucocephalus	Haliaeetus leucocephalus
Pimîhkân	Pemmican
Wikipedia:Archives/ᒪᓯᓂᐸᔨᐃᐧᐣ ᐁᑲᐧ ᒪᓯᓇᐦᐃᑲᐣ	IMMAGINE&POESIA
ᐧᐋᐸᒣᒄ	Baleia-branca
Wikipedia:Archives/ᗴᔅᗫ (ᐅᑌᓈᐤ)	Gaspé
Wikipedia:Archives/ᐯᕐᓰ	Percé (Quebec)
ᐱᔔ	Lince-do-canadá
ᐅᔅᑯᑎᒥᐦᒉᓯᐤ	Hydro-Québec
Namew	Esturjão
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	Grand Rapids
Wikipedia:Archives/É-nipathtákániwahk	Não matar
ᒋᐱᐦᒋ	Sinal de stop
Maskisin	Mocassim
Âpihtâkosisânak	Métis (etnia)
Wikipedia:Archives/ᐲᓈᐦᑎᒄ	Prendedor
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	Purê de batata
ᑰᑲᒣᔅ'	Salvelinus namaycush
Pirew	Perdiz
Wikipedia:Archives/ᓴᔭᐯᒃ	Sayabec
Wikipedia:Archives/ᑳᐅᑕᐦᐋᑯᓀᐦᐄᒉᐸᔨᒡ	Snow blower
Category:Nâpêw	Categoria:Homem
Category:Nâpêsis	Categoria:Mulheres
Category:Italy	Categoria:Itália
Category:ᑳᓈᑖ	Categoria:Canadá
Category:Turkey	Categoria:Turquia
Wikipedia:Archives/ᒋᔥᑖᐹᐅᒋᑲᓂᔮᐲ	Varal
Category:ᐱᔦᓰᓴᐠ	Categoria:Aves
Category:ᐅᐲᑭᒋᑳᓇᐠ	Categoria:Plantas
Category:Wikipedia bots	Categoria:!Robôs
Template:T	Predefinição:Ligação para predefinição
Wikipedia:Administrators	Wikipédia:Administradores
Template:Bot	Predefinição:Robô
ᑳᓇᑖ	Canadá
Category:Help	Categoria:!Ajuda
Template:Documentation	Predefinição:Documentação
Category:Pages needing translation	Categoria:!Artigos em tradução
Wikipedia:Community Portal	Wikipédia:Portal comunitário
Category:User languages	Categoria:!Wikipedistas por idioma
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:Delete	Predefinição:ER
Category:ᐗᑭᐱᑎᔭ	Categoria:Wikipédia
Wikipedia:Statistics	Wikipédia:Estatísticas
Template:Navbox	Predefinição:Navbox
Template:Babel	Predefinição:Babel
Template:Commons	Predefinição:Commons
Template:User af-1	Predefinição:User af-1
Template:User ar-1	Predefinição:User ar-1
Template:User ast-1	Predefinição:User ast-1
Template:User az	Predefinição:User az
Template:User bar-1	Predefinição:User bar-1
Template:User da-2	Predefinição:User da-2
Template:User da	Predefinição:User da
Template:User ca-1	Predefinição:User ca-1
Template:User be-2	Predefinição:User be-2
Template:User da-1	Predefinição:User da-1
Template:User cs-1	Predefinição:User cs-1
Template:User bg-1	Predefinição:User bg-1
Template:User eo-3	Predefinição:User eo-3
Template:User de	Predefinição:User de
Template:User de-1	Predefinição:User de-1
Template:User el	Predefinição:User el
Template:User de-3	Predefinição:User de-3
Template:User en-3	Predefinição:User en-3
Template:User el-1	Predefinição:User el-1
Template:User en-1	Predefinição:User en-1
Template:User en-2	Predefinição:User en-2
Template:User en-4	Predefinição:User en-4
Template:User fi	Predefinição:User fi
Template:User en-0	Predefinição:User en-0
Template:User en	Predefinição:User en
Template:User de-2	Predefinição:User de-2
Template:User fr-1	Predefinição:User fr-1
Template:User fr-2	Predefinição:User fr-2
Template:User tr	Predefinição:User tr
Template:User fr	Predefinição:User fr
Category:User uk	Categoria:Usuários uk
Category:User uk-N	Categoria:Usuário uk
Template:Mod	Predefinição:Mod
Template:User uk	Predefinição:User uk
Template:User es-2	Predefinição:User es-2
Template:ᑕᐋᐧᐤ	Predefinição:Bem-vindo(a)
Category:User fr-1	Categoria:Usuário fr-1
Category:User en-4	Categoria:Utilizador en-4
Category:User en	Categoria:Usuários en
Category:User en-2	Categoria:Usuário en-2
Template:User zh	Predefinição:User zh
Template:Template other	Predefinição:Template other
Template:User ru-4	Predefinição:User ru-4
Template:Pp-template	Predefinição:Pp-template
Category:ᐧᐊᒌ	Categoria:Montanhas
Template:Rand	Predefinição:Rand
Template:User no-2	Predefinição:User no-2
Template:User fr-3	Predefinição:User fr-3
Template:User bg	Predefinição:User bg
Category:User az	Categoria:Usuários az
Category:User be	Categoria:Usuários be
Category:User eo	Categoria:Usuários eo
Category:User fr	Categoria:Usuários fr
Category:User lt	Categoria:Usuários lt
Category:User sv	Categoria:Usuários sv
Category:User fr-3	Categoria:Usuário fr-3
Category:User cs-1	Categoria:Usuário cs-1
Category:User da-1	Categoria:Usuário da-1
Category:User ar-1	Categoria:Usuário ar-1
Category:User be-2	Categoria:Usuário be-2
Category:User da-2	Categoria:Usuário da-2
Category:User fr-2	Categoria:Usuário fr-2
Category:User ko-N	Categoria:Usuário ko
Category:User fr-N	Categoria:Usuário fr
Category:User lt-N	Categoria:Usuário lt
Category:User af	Categoria:Usuários af
