Αφρική	África
Ιαπωνία	Japão
Νότια Αμερική	América do Sul
Νορβηγία	Noruega
Αγγλία	Inglaterra
Σκωτία	Escócia
Ουαλία	País de Gales
Βόρεια Ιρλανδία	Irlanda do Norte
Δημοκρατία της Ιρλανδίας	República da Irlanda
Ουγγαρία	Hungria
Ισπανία	Espanha
Ηνωμένες Πολιτείες Αμερικής	Estados Unidos
Βέλγιο	Bélgica
Λουξεμβούργο	Luxemburgo
Σύμπαν	Universo
Γη	Terra
Ζωή	Vida
Θάνατος	Morte
Άνθρωπος	Homo sapiens
Ευτυχία	Felicidade
Τρισκαιδεκαφοβία	Triscaidecafobia
Τζορτζ Ουάσινγκτον	George Washington
Ντάγκλας Άνταμς	Douglas Adams
Τιμ Μπέρνερς Λι	Tim Berners-Lee
Στάνλεϊ Κιούμπρικ	Stanley Kubrick
Ημερολόγιο των Μάγιας	Calendário maia
Wikidata	Wikidata
Φινλανδία	Finlândia
Σουηδία	Suécia
Δανία	Dinamarca
Πολωνία	Polónia
Λιθουανία	Lituânia
Ιταλία	Itália
Ελβετία	Suíça
Αυστρία	Áustria
Ελλάδα	Grécia
Τουρκία	Turquia
Μπύρα	Cerveja
Πορτογαλία	Portugal
Ευρώπη	Europa
Ασία	Ásia
Βόρεια Αμερική	América do Norte
Ανταρκτική	Antártida
Βικιπαίδεια	Wikipédia
All your base are belong to us	All your base are belong to us
Ολλανδία	Países Baixos
Πέος	Pênis
PHP	PHP
Νέα Υόρκη	Nova Iorque
Ουάσινγκτον	Washington, D.C.
Σαν Φρανσίσκο	São Francisco (Califórnia)
Βερολίνο	Berlim
Λος Άντζελες	Los Angeles
Airbus	Airbus
Ηλεκτρονικός υπολογιστής	Computador
Βέρνη	Berna
Γενεύη	Genebra
Ζυρίχη	Zurique
Internet Relay Chat	Internet Relay Chat
Διαδίκτυο	Internet
Μπαράκ Ομπάμα	Barack Obama
Ουρουγουάη	Uruguai
Βασιλεία (Ελβετία)	Basileia
Εκτυπωτής	Impressora
MediaWiki	MediaWiki
Λονδίνο	Londres
Κάιρο	Cairo
Πονοκέφαλος	Cefaleia
Αλεξάνδρεια	Alexandria
Μήλο	Maçã
Παρίσι	Paris
Αβραάμ Λίνκολν	Abraham Lincoln
Android	Android
Google	Google
Μεξικό	México
Ατλαντικός Ωκεανός	Oceano Atlântico
Ειρηνικός Ωκεανός	Oceano Pacífico
Καλιφόρνια	Califórnia
Βοστώνη	Boston
Λοπαδο­τεμαχο­σελαχο­γαλεο­κρανιο­λειψανο­δριμ­υπο­τριμματο­σιλφιο­καραβο­μελιτο­κατακεχυ­μενο ­κιχλ­επι­κοσσυφο­φαττο­περιστε...	Lopadotemakhoselakhogaleokranioleipsanodrimypotrimmatosilphiokarabomelitokatakekhymenokikhlepikossyphophattoperisteralektryonoptekephalliokinklopeleiolagōiosiraiobaphētraganopterygṓn
Δευτέρα	Segunda-feira
Χώρος	Espaço físico
Ιανουάριος	Janeiro
Φεβρουάριος	Fevereiro
Μάρτιος	Março
Άρης (πλανήτης)	Marte (planeta)
Μαρς	Marte (mitologia)
Μέθοδος Schulze	Método de Schulze
Κένυα	Quénia
Αιθιοπία	Etiópia
Μονάρχης	Monarca
Γκάνα	Gana
Απρίλιος	Abril
Μάιος	Maio
Ιούνιος	Junho
Ιούλιος	Julho
Αύγουστος	Agosto
Σεπτέμβριος	Setembro
Οκτώβριος	Outubro
Νοέμβριος	Novembro
Δεκέμβριος	Dezembro
Τρίτη	Terça-feira
Τετάρτη	Quarta-feira
Πέμπτη	Quinta-feira
Παρασκευή	Sexta-feira
Σάββατο	Sábado
Κυριακή	Domingo
Αξιωματικός (σκάκι)	Bispo (xadrez)
Πιόνι (σκάκι)	Peão (xadrez)
Ίππος (σκάκι)	Cavalo (xadrez)
Πύργος (σκάκι)	Torre (xadrez)
Βασιλιάς (σκάκι)	Rei (xadrez)
Βασίλισσα (σκάκι)	Dama (xadrez)
Λιοντάρι	Leão
Γαλλία	França
Εσπεράντο	Esperanto
Σκύλος	Canis lupus familiaris
Ηνωμένο Βασίλειο	Reino Unido
Γάτα	Gato
Λαϊκή Δημοκρατία της Κίνας	República Popular da China
Nyan Cat	Nyan Cat
Γαλλική γλώσσα	Língua francesa
Βικιλεξικό	Wikcionário
Ψάρι	Peixe
Αιθανόλη	Etanol
Αλκοολούχο ποτό	Bebida alcoólica
Βραζιλία	Brasil
Αλκοόλες	Álcool
Φρανσουά Ολλάντ	François Hollande
Ρωσία	Rússia
Κητώδη	Cetáceos
Οπτική ίνα	Fibra óptica
Τετράγωνο	Quadrado
Θάλασσα	Mar
Μαύρη Θάλασσα	Mar Negro
Αριθμός π	Pi
Πι	Π
Μάνγκο	Manga (fruta)
Wiki	Wiki
Τορόντο	Toronto
Αλαμπάμα	Alabama
Σάο Πάολο	São Paulo (cidade)
Κεμπέκ (επαρχία)	Quebec
Πίτσα	Pizza
Ζυμαρικό	Massa alimentícia
Boeing 747	Boeing 747
Ίδρυμα Wikimedia	Wikimedia
Τζίμι Γουέιλς	Jimmy Wales
Γερμανία	Alemanha
Λευκορωσία	Bielorrússia
Εθνικός ύμνος της Ιταλίας	Il Canto degli Italiani
Γερμανική γλώσσα	Língua alemã
Ισλανδία	Islândia
Θεός	Deus
Εσθονία	Estónia
Ντέιβιντ Κάμερον	David Cameron
Κρόνος (πλανήτης)	Saturno (planeta)
Δακτύλιοι του Κρόνου	Anéis de Saturno
Σοκολάτα	Chocolate
Αεροπλάνο	Avião
Πόλεμος	Guerra
1 (αριθμός)	Um
2 (αριθμός)	Dois
3 (αριθμός)	Três
4 (αριθμός)	Quatro
5 (αριθμός)	Cinco
0 (αριθμός)	0 (número)
Άπειρο	Infinito
Στήβεν Χάρπερ	Stephen Harper
Τζορτζ Μπους (νεότερος)	George W. Bush
Ορθογώνιο παραλληλόγραμμο	Retângulo
Ορθή γωνία	Ângulo reto
Λετονία	Letónia
Ουκρανία	Ucrânia
Τσεχία	República Checa
Σλοβακία	Eslováquia
Σλοβενία	Eslovénia
Βίλνιους	Vilnius
Μολδαβία	Moldávia
Ρουμανία	Roménia
Βουλγαρία	Bulgária
Ρώμη	Roma
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας	República da Macedónia
Αλβανία	Albânia
Γροιλανδία	Gronelândia
Κροατία	Croácia
Βοσνία και Ερζεγοβίνη	Bósnia e Herzegovina
Νουούκ	Nuuk
Αζερμπαϊτζάν	Azerbaijão
Ανδόρρα	Andorra
Κύπρος	Chipre
Γεωργία	Geórgia
Βαλλωνική Περιοχή	Valônia
Καζακστάν	Cazaquistão
Μάλτα	Malta
Φλάνδρα	Flandres
Μονακό	Mónaco
Μαυροβούνιο	Montenegro
Βατικανό	Vaticano
Άγιος Μαρίνος	San Marino
Βρυξέλλες	Cidade de Bruxelas
Περιοχή των Βρυξελλών	Bruxelas
Κούβα	Cuba
Μπελίζ	Belize
Πύργος του Άιφελ	Torre Eiffel
Μπαρμπάντος	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel Corporation	Intel Corporation
Πληκτρολόγιο	Teclado (informática)
Java	Java (linguagem de programação)
Ινδονησία	Indonésia
QWERTY	QWERTY
Βόλφγκανγκ Αμαντέους Μότσαρτ	Wolfgang Amadeus Mozart
Λούντβιχ βαν Μπετόβεν	Ludwig van Beethoven
Τουρκική γλώσσα	Língua turca
Νότια Αφρική	África do Sul
Ζαν-Φρανσουά Σαμπολιόν	Jean-François Champollion
Linkin Park	Linkin Park
Αλγερία	Argélia
Βικιθήκη	Wikisource
Τυφώνας Σάντι	Furacão Sandy (2012)
Ουζμπεκιστάν	Uzbequistão
Πόζναν	Poznań
Τασκένδη	Tashkent
Βαρσοβία	Varsóvia
Άιλα	Islay
Γέφυρα Φορθ	Ponte do Forth
Διαγωνισμός Τραγουδιού Eurovision	Festival Eurovisão da Canção
Μόντενα	Módena
Ουίσκι	Uísque
Κρασί	Vinho
Νερό	Água
Κονιάκ	Cognac (bebida)
Ζωικό δέρμα	Couro
Ξύλο	Madeira
Τουρ	Tours
Τηλεόραση	Televisão
Φύλο	Sexo
Πορνογραφία	Pornografia
Ισλανδική γλώσσα	Língua islandesa
Κλωντ Μονέ	Claude Monet
Ντιέγο Βελάθκεθ	Diego Velázquez
Χιλή	Chile
Ισλανδική Σάγκα	Sagas de Islandeses
Δομήνικος Θεοτοκόπουλος	El Greco
Ιησούς Χριστός	Jesus
Έλβις Πρίσλεϊ	Elvis Presley
Σεμπαστιάν Πινιέρα	Sebastián Piñera
Γαλιλαίος Γαλιλέι	Galileu Galilei
Ερμής (πλανήτης)	Mercúrio (planeta)
Ιστορία	História
Κοιμητήριο Περ Λασαίζ	Cemitério do Père-Lachaise
Apple	Apple
Αφροδίτη (πλανήτης)	Vénus (planeta)
Γλώσσα	Linguagem
