Aafrika	África
Jaapan	Japão
Lõuna-Ameerika manner	América do Sul
Norra	Noruega
Inglismaa	Inglaterra
Šotimaa	Escócia
Wales	País de Gales
Põhja-Iirimaa	Irlanda do Norte
Iirimaa	República da Irlanda
Ungari	Hungria
Hispaania	Espanha
Ameerika Ühendriigid	Estados Unidos
Belgia	Bélgica
Luksemburg	Luxemburgo
Universum	Universo
Maa (planeet)	Terra
Elu	Vida
Surm	Morte
Inimene	Homo sapiens
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Leet	Leet
Imagine	Imagine (canção de John Lennon)
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Soome	Finlândia
Rootsi	Suécia
Taani	Dinamarca
Poola	Polónia
Leedu	Lituânia
Itaalia	Itália
Šveits	Suíça
Austria	Áustria
Kreeka	Grécia
Türgi	Turquia
Õlu	Cerveja
Portugal	Portugal
Euroopa	Europa
Aasia	Ásia
Põhja-Ameerika manner	América do Norte
Antarktis	Antártida
Vikipeedia	Wikipédia
All your base are belong to us	All your base are belong to us
Holland	Países Baixos
Suguti	Pênis
PHP	PHP
New York	Nova Iorque
Washington	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berliin	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Arvuti	Computador
Bern	Berna
Genf	Genebra
Zürich	Zurique
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
Printer	Impressora
MediaWiki	MediaWiki
London	Londres
Kairo	Cairo
Peavalu	Cefaleia
Aleksandria	Alexandria
Õun	Maçã
Pariis	Paris
Abraham Lincoln	Abraham Lincoln
Android (operatsioonisüsteem)	Android
Google	Google
Mehhiko	México
Atlandi ookean	Oceano Atlântico
Vaikne ookean	Oceano Pacífico
California	Califórnia
Boston	Boston
Esmaspäev	Segunda-feira
Ruum	Espaço físico
Jaanuar	Janeiro
Veebruar	Fevereiro
Märts	Março
Marss	Marte (planeta)
Mars	Marte (mitologia)
Keenia	Quénia
Etioopia	Etiópia
Monarh	Monarca
Ghana	Gana
Aprill	Abril
Mai	Maio
Juuni	Junho
Juuli	Julho
August	Agosto
September	Setembro
Oktoober	Outubro
November	Novembro
Detsember	Dezembro
Teisipäev	Terça-feira
Kolmapäev	Quarta-feira
Neljapäev	Quinta-feira
Reede	Sexta-feira
Laupäev	Sábado
Pühapäev	Domingo
Oda (male)	Bispo (xadrez)
Ettur	Peão (xadrez)
Ratsu	Cavalo (xadrez)
Vanker (male)	Torre (xadrez)
Kuningas (male)	Rei (xadrez)
Lipp (male)	Dama (xadrez)
Lõvi	Leão
Prantsusmaa	França
Esperanto	Esperanto
Koer	Canis lupus familiaris
Suurbritannia	Reino Unido
Kass	Gato
Hiina	República Popular da China
Prantsuse keel	Língua francesa
Vikisõnastik	Wikcionário
Kalad	Peixe
Etanool	Etanol
Alkohoolne jook	Bebida alcoólica
Brasiilia	Brasil
Alkoholid	Álcool
François Hollande	François Hollande
Venemaa	Rússia
Vaalalised	Cetáceos
Kiud	Fibra
Valgusjuhe	Fibra óptica
Yorkshire	Yorkshire (Inglaterra)
Ruut	Quadrado
Meri	Mar
Must meri	Mar Negro
Pii	Pi
Pii (täht)	Π
Mango	Manga (fruta)
Viki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
São Paulo osariik	São Paulo
Québec	Quebec
Pitsa	Pizza
Pasta	Massa alimentícia
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Jimmy Wales	Jimmy Wales
Saksamaa	Alemanha
Valgevene	Bielorrússia
Saksa keel	Língua alemã
Island	Islândia
Jumal	Deus
Eesti	Estónia
David Cameron	David Cameron
Saturn	Saturno (planeta)
Šokolaad	Chocolate
Lennuk	Avião
Sõda	Guerra
Üks	Um
Kaks	Dois
Kolm	Três
Null	0 (número)
Lõpmatus	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Ristkülik	Retângulo
Täisnurk	Ângulo reto
Läti	Letónia
Ukraina	Ucrânia
Tšehhi	República Checa
Slovakkia	Eslováquia
Sloveenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Rumeenia	Roménia
Bulgaaria	Bulgária
Rooma	Roma
Makedoonia	República da Macedónia
Albaania	Albânia
Gröönimaa	Gronelândia
Horvaatia	Croácia
Bosnia ja Hertsegoviina	Bósnia e Herzegovina
Nuuk	Nuuk
Aserbaidžaan	Azerbaijão
Andorra	Andorra
Küpros	Chipre
Gruusia	Geórgia
Valloonia	Valônia
Kasahstan	Cazaquistão
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatikan	Vaticano
San Marino	San Marino
Brüssel	Cidade de Bruxelas
Pealinna Brüsseli piirkond	Bruxelas
Kuuba	Cuba
Belize	Belize
Eiffeli torn	Torre Eiffel
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel Corporation
Sõrmistik	Teclado (informática)
Java	Java (linguagem de programação)
Indoneesia	Indonésia
QWERTY	QWERTY
