Afirik	África
Norwees	Noruega
Irlannda	República da Irlanda
Hunngariya	Hungria
Hispaanya	Espanha
Dowlaaji Dentuɗi	Estados Unidos
Beljik	Bélgica
Luksammbuur	Luxemburgo
Suwed	Suécia
Poloonya	Polónia
Lituwaniya	Lituânia
Italiya	Itália
Suwis	Suíça
Portokeesi	Portugal
Yuroopu	Europa
Aasiya	Ásia
Wikipeediya	Wikipédia
Holannda	Países Baixos
Kenya	Quénia
Gana	Gana
Faransi	França
Esperanto	Esperanto
Faransinkoore	Língua francesa
Roosiya	Rússia
Almaanya	Alemanha
Belaruusiya	Bielorrússia
Almankoore	Língua alemã
Islannda	Islândia
Estoniya	Estónia
Go’o	Um
Ɗiɗi	Dois
Tati	Três
Nayi	Quatro
Jowi	Cinco
Ukrayiina	Ucrânia
Sulowakiya	Eslováquia
Suloweniya	Eslovénia
Moldowa	Moldávia
Romaniya	Roménia
Bulgariya	Bulgária
Masedoniya	República da Macedónia
Albaniya	Albânia
Korowaasiya	Croácia
Bosniya	Bósnia e Herzegovina
Anndoora	Andorra
Montenegro	Montenegro
Watikan	Vaticano
Aljeri	Argélia
Ndiyam	Água
Ciile	Chile
Sinngapuur	Singapura
Armaaniya	Arménia
Serbiya	Sérvia
Lewru	Lua
Peru	Peru
Alqur'aana	Alcorão
Naange	Sol
Njuɓɓudi naangeyankoori	Sistema Solar
East Timor	Timor-Leste
Nawru	Nauru
Fiiji	Fiji
Ndimaagu	Sapiência
Aameerik	América
Wiyetnam	Vietname
Maali	Mali
Anngolaa	Angola
Togo	Togo
Benen	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burunndi	Burundi
Gine Ekwatoriyal	Guiné Equatorial
Eritereya	Eritreia
Gabon	Gabão
Gammbi	Gâmbia
Gine	Guiné
Gine-Bisaawo	Guiné-Bissau
Kodduwaar	Costa do Marfim
Kamerun	Camarões
Kapu Werde	Cabo Verde
Labiriyaa	Libéria
Muritani	Mauritânia
Mozammbik	Moçambique
Namibiya	Namíbia
Niiser	Níger
Niiseriya	Nigéria
Senegaal	Senegal
Sarliyon	Serra Leoa
Somaaliya	Somália
Uetersen	Uetersen
Ho Chi Minh City	Cidade de Ho Chi Minh
Egilis Haqiiqaajo mo Iisaa Almasiihu	Verdadeira Igreja de Jesus
Đồng Hới	Dong Hoi
Kurów	Kurów
Maayo Niil	Rio Nilo
Maayo Jaaliba	Rio Níger
Nouakchott	Nouakchott
Konaakiri	Conacri
Osasco	Osasco
Aéroport de Dong Hoi	Aeroporto de Dong Hoi
Curitiba	Curitiba
Catégorie:Hisaabu	Categoria:Matemática
Duungal	Continente
Monzón	Monzón
Almazán	Almazán
Saggitorde huuɓnude	Enciclopédia
Hello jaɓɓorgo	Wikipédia:Página principal
Catégorie:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
Carl Friedrich Gauss	Carl Friedrich Gauss
Qin Shi Huang	Qin Shihuang
Ndenndaandi	República
Leydi	Estado
Riisinkoore	Língua russa
UNESCO	Organização das Nações Unidas para a Educação, a Ciência e a Cultura
Nelson Manndelaa	Nelson Mandela
Dewgal	Casamento
Nelaaɗo Muhammadu	Maomé
Ronald Reagan	Ronald Reagan
