非洲	África
日本	Japão
南美洲	América do Sul
挪威	Noruega
愛爾蘭	República da Irlanda
西班牙	Espanha
美國	Estados Unidos
地球	Terra
過世	Morte
人	Homo sapiens
幸福	Felicidade
喬治·華盛頓	George Washington
芬蘭	Finlândia
瑞典	Suécia
丹麥	Dinamarca
波蘭	Polónia
意大利	Itália
希臘	Grécia
土耳其	Turquia
啤酒	Cerveja
歐洲	Europa
亞洲	Ásia
北美洲	América do Norte
南極洲	Antártida
維基百科	Wikipédia
荷蘭	Países Baixos
卵	Pênis
紐約市	Nova Iorque
華盛頓哥倫比亞特區	Washington, D.C.
舊金山	São Francisco (Califórnia)
柏林	Berlim
洛杉磯	Los Angeles
電腦	Computador
互聯網	Internet
奧巴馬	Barack Obama
倫敦	Londres
蘋果	Maçã
巴黎	Paris
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	México
大西洋	Oceano Atlântico
太平洋	Oceano Pacífico
加利福尼亞州	Califórnia
波士頓	Boston
禮拜一	Segunda-feira
一月	Janeiro
二月	Fevereiro
三月	Março
火星	Marte (planeta)
埃塞俄比亞	Etiópia
4月	Abril
5月	Maio
六月	Junho
七月	Julho
八月	Agosto
九月	Setembro
十月	Outubro
十一月	Novembro
十二月	Dezembro
禮拜二	Terça-feira
禮拜三	Quarta-feira
禮拜四	Quinta-feira
禮拜五	Sexta-feira
禮拜六	Sábado
禮拜天	Domingo
法國	França
狗	Canis lupus familiaris
英國	Reino Unido
貓	Gato
中華人民共和國	República Popular da China
法語	Língua francesa
魚	Peixe
酒	Bebida alcoólica
巴西	Brasil
俄羅斯	Rússia
方形	Quadrado
海	Mar
黑海	Mar Negro
圓周率	Pi
阿拉巴馬州	Alabama
聖保羅	São Paulo (cidade)
德國	Alemanha
德語	Língua alemã
土星	Saturno (planeta)
飛行器	Avião
打仗	Guerra
1	Um
2	Dois
3	Três
4	Quatro
5	Cinco
無限	Infinito
烏克蘭	Ucrânia
羅馬	Roma
克罗地亚	Croácia
古巴	Cuba
印度尼西亞	Indonésia
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	África do Sul
維基文庫	Wikisource
葡萄酒	Vinho
水	Água
木	Madeira
電視	Televisão
冰島語	Língua islandesa
摩內	Claude Monet
韋拿克	Diego Velázquez
智利	Chile
耶穌	Jesus
貓王	Elvis Presley
伽利略	Galileu Galilei
水星	Mercúrio (planeta)
歷史	História
金星	Vénus (planeta)
語言	Linguagem
愛	Amor
木星	Júpiter (planeta)
天王星	Urano (planeta)
海王星	Netuno (planeta)
天文學	Astronomia
新加坡	Singapura
科學	Ciência
運動	Desporto
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	Primeira Guerra Mundial
第二次世界大戰	Segunda Guerra Mundial
鐘	Relógio
數學	Matemática
拉丁語	Língua latina
月光	Lua
伊斯坦布爾	Istambul
澳大利亞	Austrália
物理學	Física
阿根廷	Argentina
電信	Telecomunicações
朝鮮民主主義人民共和國	Coreia do Norte
柬埔寨	Camboja
恐龍	Dinossauros
駄	Roda
狄德羅	Denis Diderot
心智	Mente
萬維網	World Wide Web
女人	Mulher
詩	Poesia
脇胛	Axila
檸檬	Limão
香蕉	Banana
666年	666
花	Flor
珠穆朗瑪峰	Monte Everest
城市	Cidade
拿破崙	Napoleão Bonaparte
太陽	Sol
光年	Ano-luz
雨果	Victor Hugo
大洋洲	Oceania
田徑	Atletismo
太陽系	Sistema Solar
地獄	Inferno
書	Livro
日	Dia
年	Ano
哥白尼	Nicolau Copérnico
可利俄捌拿七世	Cleópatra
音樂	Música
莫斯科	Moscovo
意大利語	Língua italiana
北	Norte
南	Sul
印度	Índia
散文	Prosa
鐵	Ferro
西	Oeste
東	Leste
莫里哀	Molière
莎士比亞	William Shakespeare
國際象棋	Xadrez
成吉思汗	Gengis Khan
馬	Equus ferus caballus
武器	Arma
動物	Animalia
藝術	Arte
哥倫比亞	Colômbia
佛教	Budismo
植物	Plantae
達芬奇	Leonardo da Vinci
雞	Gallus gallus domesticus
北冰洋	Oceano Ártico
伊朗	Irão
伊拉克	Iraque
阿拉斯加州	Alasca
以色列	Israel
亞利桑那州	Arizona
老撾	Laos
美洲	América
馬來西亞	Malásia
緬甸	Myanmar
巴基斯坦	Paquistão
網球	Ténis
沙特阿拉伯	Arábia Saudita
斯大林	Josef Stalin
柏拉圖	Platão
中華民國	República da China
亞里斯多德	Aristóteles
泰國	Tailândia
火車	Trem
無線電	Rádio (telecomunicações)
越南	Vietname
韓國	Coreia do Sul
金	Ouro
蘇伊士運河	Canal de Suez
孟加拉	Bangladesh
卡夫卡	Franz Kafka
蘇格拉底	Sócrates
羅德·阿門森	Roald Amundsen
菲律賓	Filipinas
南極點	Polo Sul
北極點	Polo Norte
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
黃	Amarelo
北京	Pequim
剛果民主共和國	República Democrática do Congo
聖安東尼奧 (德克薩斯州)	San Antonio
多托頁夫斯基	Fiódor Dostoiévski
甘地	Mahatma Gandhi
人骨子頭畫	Banda desenhada
尼日利亞	Nigéria
達爾文	Charles Darwin
卡爾·林奈	Carolus Linnaeus
凱撒大帝	Júlio César
聯合國	Organização das Nações Unidas
但丁	Dante Alighieri
地理學	Geografia
色	Cor
藍	Azul
銀	Prata
電	Carga elétrica
耶路撒冷	Jerusalém
印度洋	Oceano Índico
科索沃	Kosovo
蕭邦	Frédéric Chopin
分類:總類	Categoria:Conteúdo
阿爾卑斯山	Alpes
帕斯卡	Blaise Pascal
西洋跳棋	Damas
芝加哥	Chicago
披頭士	The Beatles
西班牙語	Língua castelhana
巴赫	Johann Sebastian Bach
歌劇	Ópera
費城	Filadélfia
德里	Deli
水果	Fruto
錢	Dinheiro
列寧	Lenin
衛吉	Virgílio
屋大維	Augusto
汽車	Automóvel
東京	Tóquio
麥哲倫	Fernão de Magalhães
華格納	Richard Wagner
雅典	Atenas
世界標準時間	Tempo Universal Coordenado
印地語	Língua hindi
阿肯色州	Arkansas
韻文	Verso
瑪當娜	Madonna
路易·暗式將	Louis Armstrong
法蘭克福	Frankfurt am Main
聖經	Bíblia
胡志明市	Cidade de Ho Chi Minh
真耶穌教會	Verdadeira Igreja de Jesus
英語	Língua inglesa
同海市	Dong Hoi
孔斯科沃拉	Końskowola
2000年	2000
2003年	2003
2002年	2002
2001年	2001
2012年	2012
2011年	2011
2010年	2010
2009年	2009
2013年	2013
2014年	2014
2015年	2015
2008年	2008
2004年	2004
2005年	2005
2006年	2006
2007年	2007
1900年	1900
1901年	1901
戴高樂	Charles de Gaulle
1902年	1902
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Alimento
1月1號	1 de janeiro
1月2號	2 de janeiro
1920年	1920
1月3號	3 de janeiro
1919年	1919
1921年	1921
1922年	1922
1月4號	4 de janeiro
1923年	1923
1924年	1924
1月5號	5 de janeiro
1月6號	6 de janeiro
1月7號	7 de janeiro
1月8號	8 de janeiro
1月9號	9 de janeiro
1月10號	10 de janeiro
1月11號	11 de janeiro
1月12號	12 de janeiro
1月13號	13 de janeiro
1月14號	14 de janeiro
1月15號	15 de janeiro
1月16號	16 de janeiro
1月17號	17 de janeiro
1月18號	18 de janeiro
1月19號	19 de janeiro
1月20號	20 de janeiro
工業革命	Revolução Industrial
1月21號	21 de janeiro
1月22號	22 de janeiro
1月23號	23 de janeiro
羅馬帝國	Império Romano
1月24號	24 de janeiro
1月25號	25 de janeiro
1月26號	26 de janeiro
微軟	Microsoft
1月27號	27 de janeiro
1月28號	28 de janeiro
1月29號	29 de janeiro
1月30號	30 de janeiro
1月31號	31 de janeiro
12月2號	2 de dezembro
12月1號	1 de dezembro
12月3號	3 de dezembro
12月7號	7 de dezembro
12月5號	5 de dezembro
12月8號	8 de dezembro
12月10號	10 de dezembro
12月6號	6 de dezembro
12月9號	9 de dezembro
12月4號	4 de dezembro
2月1號	1 de fevereiro
2月2號	2 de fevereiro
2月3號	3 de fevereiro
庫魯夫市	Kurów
2月4號	4 de fevereiro
2月5號	5 de fevereiro
2月6號	6 de fevereiro
2月7號	7 de fevereiro
2月8號	8 de fevereiro
2月9號	9 de fevereiro
2月10號	10 de fevereiro
化學	Química
2月14號	14 de fevereiro
2月13號	13 de fevereiro
