Yn Affrick	África
Yn Çhapaan	Japão
America Yiass	América do Sul
Norlynn	Noruega
Sostyn	Inglaterra
Nalbin	Escócia
Bretyn	País de Gales
Nerin Hwoaie	Irlanda do Norte
Pobblaght Nerin	República da Irlanda
Yn Ungaar	Hungria
Yn Spaainey	Espanha
Steatyn Unnaneysit America	Estados Unidos
Yn Velg	Bélgica
Lucsemburg	Luxemburgo
Yn Dowan	Terra
Finnlynn	Finlândia
Yn Toolynn	Suécia
Yn Danvarg	Dinamarca
Yn Pholynn	Polónia
Yn Litaan	Lituânia
Yn Iddaal	Itália
Yn Elveeish	Suíça
Yn Austeyr	Áustria
Yn Ghreag	Grécia
Yn Turkee	Turquia
Lhune	Cerveja
Yn Phortiugal	Portugal
Yn Oarpey	Europa
Yn Aishey	Ásia
America Hwoaie	América do Norte
Yn Antarctagh	Antártida
Wikipedia	Wikipédia
Yn Çheer Injil	Países Baixos
Caayr York Noa	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berleen	Berlim
Los Angeles	Los Angeles
Co-earrooder	Computador
Berne	Berna
Eddyr-voggyl	Internet
Barack Obama	Barack Obama
Yn Ooraguay	Uruguai
Lunnin	Londres
Cairo	Cairo
Ooyl	Maçã
Paarys	Paris
Abraham Lincoln	Abraham Lincoln
Meksico	México
Yn Keayn Sheear	Oceano Atlântico
Yn Keayn Sheealtagh	Oceano Pacífico
California	Califórnia
Boston	Boston
Jelune	Segunda-feira
Jerrey Geuree	Janeiro
Toshiaght Arree	Fevereiro
Mayrnt	Março
Mart (planaid)	Marte (planeta)
Yn Cheinney	Quénia
Yn Eetoip	Etiópia
Yn Ghaney	Gana
Averil	Abril
Boaldyn	Maio
Mean Souree	Junho
Jerrey Souree	Julho
Luanistyn	Agosto
Mean Fouyir	Setembro
Jerrey Fouyir	Outubro
Mee Houney	Novembro
Mee ny Nollick	Dezembro
Jemayrt	Terça-feira
Jecrean	Quarta-feira
Jerdein	Quinta-feira
Jeheiney	Sexta-feira
Jesarn	Sábado
Jedoonee	Domingo
Yn Rank	França
Moddey	Canis lupus familiaris
Reeriaght Unnaneysit	Reino Unido
Kayt	Gato
Deynphobblaght ny Sheen	República Popular da China
Frangish	Língua francesa
Eeast	Peixe
Yn Vrasseel	Brasil
Alcoal	Álcool
François Hollande	François Hollande
Yn Roosh	Rússia
Mooir	Mar
Yn Vooir Ghoo	Mar Negro
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Québec	Quebec
Wikimedia	Wikimedia
Yn Ghermaan	Alemanha
Yn Velaroosh	Bielorrússia
Germaanish	Língua alemã
Yn Eeslynn	Islândia
Jee	Deus
Yn Estaan	Estónia
David Cameron	David Cameron
Sarn (planaid)	Saturno (planeta)
Etlan	Avião
0 (earroo)	0 (número)
George W. Bush	George W. Bush
Yn Latvey	Letónia
Yn Ookraan	Ucrânia
Yn Phobblaght Çheck	República Checa
Yn Clovack	Eslováquia
Yn Clovean	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Yn Romaan	Roménia
Yn Vulgeyr	Bulgária
Yn Raue	Roma
Pobblaght ny Massadoan	República da Macedónia
Yn Albaan	Albânia
Greenlynn	Gronelândia
Yn Chroit	Croácia
Bosnia as Herzegovina	Bósnia e Herzegovina
Nuuk	Nuuk
Yn Asserbajaan	Azerbaijão
Andorra	Andorra
Yn Cheeprey	Chipre
Yn Çhorshey	Geórgia
Yn Walloon	Valônia
Yn Chassaghstaan	Cazaquistão
