非洲	África
日本	Japão
南美洲	América do Sul
Nò-vî	Noruega
Sû-kak-làn	Escócia
Vî-ngì-sṳ̂	País de Gales
Pet Oi-ngì-làn	Irlanda do Norte
Hiûng-ngà-li	Hungria
Sî-pân-ngà	Espanha
Mî-koet	Estados Unidos
Pí-li-sṳ̀	Bélgica
Lù-sêm-pó	Luxemburgo
Yî-chhiu	Universo
Thi-khiù	Terra
Sâng-miang	Vida
Ngìn-lui	Homo sapiens
George Washington	George Washington
Fûn-làn	Finlândia
Shuì-tién	Suécia
Tan-ma̍k	Dinamarca
Pô-làn	Polónia
Li̍p-thâu-vón	Lituânia
Yi-thai-li	Itália
Shuì-sṳ	Suíça
O-thi-li	Áustria
Hî-lia̍p	Grécia
Thú-ngí-khì	Turquia
Phù-thò-ngà	Portugal
歐洲	Europa
亞洲	Ásia
北美洲	América do Norte
南極洲	Antártida
Vì-kî Pak-khô	Wikipédia
Hò-làn	Países Baixos
Néu-yok-sṳ	Nova Iorque
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington, D.C.
Khiu-kîm-sân	São Francisco (Califórnia)
Pak-lìm	Berlim
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Computador
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguai
Lùn-tûn	Londres
Phìn-kó	Maçã
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	México
Thai-sî-yòng	Oceano Atlântico
Thai-phìn-yòng	Oceano Pacífico
Kâ-li-fuk-nì-â	Califórnia
Pô-sṳ-tun	Boston
Fó-sên	Marte (planeta)
Âi-set-ngò-pí-â	Etiópia
Sṳ̂-é	Leão
Fap-koet	França
Sṳ-kie-ngî	Esperanto
Kiéu-è	Canis lupus familiaris
Yîn-koet	Reino Unido
Meu-é	Gato
中華人民共和國	República Popular da China
Fap-ngî	Língua francesa
Ǹg-è	Peixe
Pâ-sî	Brasil
François Hollande	François Hollande
Ngò-lò-sṳ̂	Rússia
Kîn-ǹg	Cetáceos
Chang-fông-hìn	Quadrado
Mong-kó	Manga (fruta)
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Quebec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Alemanha
Pha̍k-ngò-lò-sṳ̂	Bielorrússia
Tet-ngî	Língua alemã
Pên-tó	Islândia
Song-ti	Deus
Oi-sâ-nì-â	Estónia
David Cameron	David Cameron
Thú-sên	Saturno (planeta)
Ku-thin-yi̍t Fî-kî	Avião
1	Um
2	Dois
3	Três
4	Quatro
5	Cinco
George W. Bush	George W. Bush
Lâ-thot-vì-â	Letónia
Vû-khiet-làn	Ucrânia
Tshia̍p-khiet	República Checa
Sṳ̂-lo̍k-vì-nì-â	Eslovénia
Lò-mâ-nì-â	Roménia
Pó-kâ-li-â	Bulgária
Lò-mâ	Roma
Mâ-khì-tun	República da Macedónia
Â-ngì-pâ-nì-â	Albânia
Khiet-lò-âi-sî-â	Croácia
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bósnia e Herzegovina
Â-set-pai-kiông	Azerbaijão
Set-phû-lu-sṳ̂	Chipre
Kak-lû-kit-â	Geórgia
Hâ-sat-khiet-sṳ̂-thán	Cazaquistão
Mí-li-thai	Malta
Mô-na̍p-kô	Mónaco
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San Marino
Kú-pâ	Cuba
Eiffel Thiet-thap	Torre Eiffel
Yin-thu-nì-sî-â	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Língua turca
Nàm-fî	África do Sul
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Uzbequistão
Pô-tsṳ-nàm	Poznań
Fà-sâ	Varsóvia
Súi	Água
Thien-sṳ	Televisão
Chṳ-li	Chile
Yâ-sû	Jesus
Súi-sên	Mercúrio (planeta)
Li̍t-sṳ́	História
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Vénus (planeta)
Ngî-ngièn	Linguagem
Muk-sên	Júpiter (planeta)
Thiên-vòng-sên	Urano (planeta)
Pu-lie̍t-thap-nì	Bretanha
Hói-vòng-sên	Netuno (planeta)
Thiên-vùn-ho̍k	Astronomia
Sîn-kâ-po	Singapura
Khô-ho̍k	Ciência
Montréal	Montreal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Segunda Guerra Mundial
Cologne	Colônia (Alemanha)
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Estetino
Sṳ-ho̍k	Matemática
Lâ-tên-ngî	Língua latina
Pâ-lìm	Bahrein
Â-mî-nì-â	Arménia
Set-ngì-vì-â	Sérvia
Ngie̍t-khiù	Lua
Àu-thai-li-â	Austrália
Vu̍t-lî-ho̍k	Física
Â-kîn-thìn	Argentina
Pi-lû	Peru
Sâng-vu̍t-ho̍k	Biologia
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Coreia do Norte
Kán-pu-chhài	Camboja
Khiúng-liùng	Dinossauros
Yî-sṳ̂-làn-kau	Islão
Lech Wałęsa	Lech Wałęsa
Lin-é	Roda
Lyon	Lyon
Êu-chû Lièn-mèn	União Europeia
Rhône-Alpes	Ródano-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Mulher
Khiûng-tsiâu	Banana
Fâ	Flor
Mâ-lî-â-na̍p-hói	Fossa das Marianas
Chû-mu̍k-lòng-mâ-fûng	Monte Everest
Sàng-sṳ	Cidade
Nâ-pho-lùn yit-sṳ	Napoleão Bonaparte
Ngit-tèu	Sol
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Oceania
Thai-yòng Hì	Sistema Solar
Pô-lò-tit-hói	Mar Báltico
Ngâ-chhṳ	Dente
Khîn	Hidrogénio
Hoi (氦)	Hélio
Angela Merkel	Angela Merkel
Lî	Lítio
Phì	Berílio
Si	Livro
Ngit	Dia
Ngièn	Ano
Sṳ-ki	Século
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boro
Thàn	Carbono
Tham	Azoto
Yòng	Oxigénio
Hàng-sên	Planeta
Yîm-ngo̍k	Música
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moscovo
Fuk	Flúor
Yi-thai-li-ngî	Língua italiana
Nái	Néon
Sṳn Pí-tet-páu	São Petersburgo
Na̍p	Sódio
北	Norte
Mî	Magnésio
Lî (鋁)	Alumínio
Néu Sî-làn	Nova Zelândia
南	Sul
Yin-thu	Índia
Si̍t	Silício
Fap	Frâncio
Lìn	Fósforo
Thiet	Ferro
Tûng-kâ	Tonga
西	Oeste
Liù-vòng	Enxofre
東	Leste
Liu̍k	Cloro
Pâ-pu-â Néu-kí-nui-â	Papua-Nova Guiné
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Árgon
Kap	Potássio
Koi	Cálcio
Yèn	Chumbo
Mùng-kú-koet	Mongólia
Khong (鈧)	Escândio
Thai	Titânio
Genghis Khan	Gengis Khan
Fàm	Vanádio
Mien-yîn	Maine
Kok	Crômio
Mâ	Equus ferus caballus
Thûng-vu̍t	Animalia
Sû-li-nàm	Suriname
Màng	Manganês
Pâ-lâ-kûi	Paraguai
Koi-â-nâ	Guiana
Ngi-su̍t	Arte
Lòi	Rênio
Kô-lùn-pí-â	Colômbia
Kû	Cobalto
Vû	Tungstênio
Ngiap (鎳)	Níquel
Fu̍t-kau	Budismo
Pô-li-vì-â	Bolívia
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidad e Tobago
Chhṳ̍t-vu̍t	Plantae
Sîn	Zinco
Néu Hàn-pu-ha	Nova Hampshire
Pí-â-vùi-sṳ̂-thok-khiet	Białystok
Ngà-mâi-kâ	Jamaica
Mà-sat-chû-set	Massachusetts
Drenthe-sén	Drente
Overijssel-sén	Overissel
Kûa-thi-mâ-là	Guatemala
Gelderland-sén	Guéldria
Pâ-hâ-mâ	Bahamas
Không-nái-tí-khiet-chû	Connecticut
Kiê-é	Gallus gallus domesticus
Ha-vî-yî	Havaí
Fùng-tû-lâ-sṳ̂	Honduras
Tô-mí-nì-kâ	Dominica
