Afríka	África
Japan	Japão
Suður-Ameríka	América do Sul
Noregur	Noruega
England	Inglaterra
Skotland	Escócia
Wales	País de Gales
Norður-Írland	Irlanda do Norte
Írska lýðveldið	República da Irlanda
Ungverjaland	Hungria
Spánn	Espanha
Bandaríkin	Estados Unidos
Belgía	Bélgica
Lúxemborg	Luxemburgo
Alheimurinn	Universo
Jörðin	Terra
Líf	Vida
Dauði	Morte
Maður	Homo sapiens
Hamingja	Felicidade
George Washington	George Washington
Jack Bauer	Jack Bauer
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
L33t	Leet
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finnland	Finlândia
Svíþjóð	Suécia
Danmörk	Dinamarca
Pólland	Polónia
Litháen	Lituânia
Ítalía	Itália
Sviss	Suíça
Austurríki	Áustria
Grikkland	Grécia
Tyrkland	Turquia
Bjór (öl)	Cerveja
Portúgal	Portugal
Evrópa	Europa
Asía	Ásia
Norður-Ameríka	América do Norte
Suðurskautslandið	Antártida
Wikipedia	Wikipédia
Holland	Países Baixos
Getnaðarlimur	Pênis
PHP	PHP
New York-borg	Nova Iorque
Washington (borg)	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlín	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Tölva	Computador
Bern	Berna
Genf	Genebra
Zürich	Zurique
Internet Relay Chat	Internet Relay Chat
Internetið	Internet
Barack Obama	Barack Obama
Úrúgvæ	Uruguai
Basel	Basileia
Prentari (tölvufræði)	Impressora
London	Londres
Kaíró	Cairo
Höfuðverkur	Cefaleia
Alexandría	Alexandria
Epli	Maçã
París	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mexíkó	México
Atlantshaf	Oceano Atlântico
Kyrrahaf	Oceano Pacífico
Kalifornía	Califórnia
Boston	Boston
Mánudagur	Segunda-feira
Janúar	Janeiro
Febrúar	Fevereiro
Mars (mánuður)	Março
Mars (reikistjarna)	Marte (planeta)
Mars (guð)	Marte (mitologia)
Kenía	Quénia
Eþíópía	Etiópia
Konungur	Monarca
Gana	Gana
Apríl	Abril
Maí	Maio
Júní	Junho
Júlí	Julho
Ágúst	Agosto
September	Setembro
Október	Outubro
Nóvember	Novembro
Desember	Dezembro
Þriðjudagur	Terça-feira
Miðvikudagur	Quarta-feira
Fimmtudagur	Quinta-feira
Föstudagur	Sexta-feira
Laugardagur	Sábado
Sunnudagur	Domingo
Ljón	Leão
Frakkland	França
Esperanto	Esperanto
Hundur	Canis lupus familiaris
Bretland	Reino Unido
Köttur	Gato
Alþýðulýðveldið Kína	República Popular da China
Franska	Língua francesa
Wikiorðabókin	Wikcionário
Fiskur	Peixe
Etanól	Etanol
Áfengi	Bebida alcoólica
Brasilía	Brasil
Alkóhól	Álcool
François Hollande	François Hollande
Rússland	Rússia
Hvalir	Cetáceos
Trefjar	Fibra
Yorkshire	Yorkshire (Inglaterra)
Ferningur	Quadrado
Sjór	Mar
Svartahaf	Mar Negro
Pí	Pi
Pí (bókstafur)	Π
Mangó	Manga (fruta)
Wiki	Wiki
Torontó	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Québec	Quebec
Pizza	Pizza
Pasta	Massa alimentícia
Boeing 747	Boeing 747
Wikimedia	Wikimedia
Jimmy Wales	Jimmy Wales
Þýskaland	Alemanha
Hvíta-Rússland	Bielorrússia
Il Canto degli Italiani	Il Canto degli Italiani
Þýska	Língua alemã
Ísland	Islândia
Guð	Deus
Eistland	Estónia
David Cameron	David Cameron
Satúrnus (reikistjarna)	Saturno (planeta)
Súkkulaði	Chocolate
Flugvél	Avião
Stríð	Guerra
Einn	Um
Tveir	Dois
Þrír	Três
Fjórir	Quatro
Fimm	Cinco
Núll	0 (número)
Óendanleiki	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Rétthyrningur	Retângulo
Rétt horn	Ângulo reto
Lettland	Letónia
Úkraína	Ucrânia
Tékkland	República Checa
Slóvakía	Eslováquia
Slóvenía	Eslovénia
Vilníus	Vilnius
Moldóva	Moldávia
Rúmenía	Roménia
Búlgaría	Bulgária
Róm	Roma
Lýðveldið Makedónía	República da Macedónia
Albanía	Albânia
Grænland	Gronelândia
Króatía	Croácia
Bosnía og Hersegóvína	Bósnia e Herzegovina
Nuuk	Nuuk
Aserbaídsjan	Azerbaijão
Andorra	Andorra
Kýpur	Chipre
Georgía	Geórgia
Kasakstan	Cazaquistão
Malta	Malta
Flæmingjaland	Flandres
Mónakó	Mónaco
Svartfjallaland	Montenegro
Vatíkanið	Vaticano
San Marínó	San Marino
Brussel	Bruxelas
Kúba	Cuba
Belís	Belize
Eiffelturninn	Torre Eiffel
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel Corporation
Þráðlaus samskipti	Comunicações sem fio
Lyklaborð	Teclado (informática)
Java (forritunarmál)	Java (linguagem de programação)
Indónesía	Indonésia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Tyrkneska	Língua turca
Mandelbrot mengið	Conjunto de Mandelbrot
Suður-Afríka	África do Sul
Linkin Park	Linkin Park
Alsír	Argélia
Wikiheimild	Wikisource
Úsbekistan	Uzbequistão
Poznań	Poznań
Taskent	Tashkent
Varsjá	Varsóvia
Söngvakeppni evrópskra sjónvarpsstöðva	Festival Eurovisão da Canção
Módena	Módena
Viskí	Uísque
Vín	Vinho
Vatn	Água
Leður	Couro
Viður	Madeira
Sjónvarp	Televisão
Klám	Pornografia
Íslenska	Língua islandesa
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Síle	Chile
Íslendingasögur	Sagas de Islandeses
El Greco	El Greco
Jesús frá Nasaret	Jesus
Elvis Presley	Elvis Presley
Galíleó Galílei	Galileu Galilei
Merkúríus (reikistjarna)	Mercúrio (planeta)
Saga	História
Apple Inc.	Apple
Venus (reikistjarna)	Vénus (planeta)
Tungumál	Linguagem
Ást	Amor
Einræði	Ditadura
Stjörnuþoka	Galáxia
Júpíter (reikistjarna)	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Vetrarbrautin	Via Láctea
Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Miklihvellur	Big Bang
Úranus (reikistjarna)	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Neptúnus (reikistjarna)	Netuno (planeta)
Stjörnufræði	Astronomia
Singapúr	Singapura
Vísindi	Ciência
Heimsfræði	Cosmologia
Plútó (dvergreikistjarna)	Plutão
Montréal	Montreal
Frjáls hugbúnaður	Software livre
Framtíð	Futuro
María mey	Maria (mãe de Jesus)
Loðvík 9.	Luís IX de França
Liechtenstein	Liechtenstein
Íþrótt	Desporto
Cambridge	Cambridge
Yellowstone-þjóðgarðurinn	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Blanka af Kastilíu	Branca de Castela
Facebook	Facebook
Fangabúðirnar við Guantanamo-flóa	Prisão de Guantánamo
Wikileaks	WikiLeaks
Julian Assange	Julian Assange
Fyrri heimsstyrjöldin	Primeira Guerra Mundial
Seinni heimsstyrjöldin	Segunda Guerra Mundial
Þriðja heimsstyrjöldin	Terceira Guerra Mundial
Köln	Colônia (Alemanha)
Spilling	Corrupção
Wikibækur	Wikilivros
Augusto Pinochet	Augusto Pinochet
Wikivitnun	Wikiquote
Vodka	Vodca
Vaffla	Waffle
Klukka	Relógio
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Escópia
Bob Dylan	Bob Dylan
Szczecin	Estetino
Stærðfræði	Matemática
U2	U2
Latína	Língua latina
Barein	Bahrein
Armenía	Arménia
Fleygrúnir	Escrita cuneiforme
Higgs-bóseind	Bóson de Higgs
Serbía	Sérvia
Tunglið	Lua
Istanbúl	Istambul
Ástralía	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Stjörnulíffræði	Exobiologia
Eðlisfræði	Física
