frikytu'a	África
pongu'e	Japão
ketytu'a	América do Sul
noreg	Noruega
airland	República da Irlanda
madjiar	Hungria
sangu'e	Espanha
mergu'e	Estados Unidos
beldjym	Bélgica
lEtsyburg	Luxemburgo
terdi	Terra
remna	Homo sapiens
gugdrsu,omi	Finlândia
sueriges	Suécia
danmark	Dinamarca
polskas	Polónia
lietuvas	Lituânia
italias	Itália
elvetias	Suíça
ysteraic	Áustria
xesygu'e	Grécia
turk	Turquia
birje	Cerveja
potygu'e	Portugal
rontu'a	Europa
zdotu'a	Ásia
bemtu'a	América do Norte
ziptu'a	Antártida
uikipidias	Wikipédia
nederland	Países Baixos
pinji	Pênis
niu,IORK. zei tcadu	Nova Iorque
.uacintyn. zei tcadu	Washington, D.C.
berlin	Berlim
skami	Computador
tcadrjenevu	Genebra
byRAK.obamas	Barack Obama
uruguais	Uruguai
london	Londres
plise	Maçã
paris	Paris
mexygu'e	México
atlantik. zei braxamsi	Oceano Atlântico
pasifik. zei braxamsi	Oceano Pacífico
kalifornias	Califórnia
pavma'i	Janeiro
relma'i	Fevereiro
mars	Marte (planeta)
kenias	Quénia
itiopias	Etiópia
cinfo	Leão
fasygu'e	França
esperantos	Esperanto
gerku	Canis lupus familiaris
ritygu'e	Reino Unido
mlatu	Gato
jugygu'e	República Popular da China
fasybau	Língua francesa
finpe	Peixe
razgu'e	Brasil
rukygu'e	Rússia
xamsi	Mar
xekri xamsi	Mar Negro
alybamas	Alabama
sankt. paulos	São Paulo (cidade)
dotygu'e	Alemanha
belrus	Bielorrússia
dotybau	Língua alemã
island	Islândia
estis	Estónia
saturn	Saturno (planeta)
ci'i	Infinito
djordj. ualker. buc	George W. Bush
vurgu'e	Ucrânia
tcesk.zei gubyseltru	República Checa
slovensk	Eslováquia
slovEni,as	Eslovénia
moldovas	Moldávia
romanias	Roménia
bylgAri,as	Bulgária
romas	Roma
xrvatskas	Croácia
andoras	Andorra
kazaksTAN	Cazaquistão
maltas	Malta
brusel.	Bruxelas
kubas	Cuba
beliz	Belize
bidgu'e	Indonésia
vulfygan.amade,us.motsart	Wolfgang Amadeus Mozart
ludvix.fan.beitoven	Ludwig van Beethoven
nanfi'ogu'e	África do Sul
jexygu'e	Argélia
djacu	Água
tciles	Chile
iesus	Jesus
galileos.galileis	Galileu Galilei
merkurios	Mercúrio (planeta)
citri	História
venus	Vénus (planeta)
bangu	Linguagem
barda tarci bo girzu	Galáxia
iupiter	Júpiter (planeta)
uranos	Urano (planeta)
neptun	Netuno (planeta)
kesyske	Astronomia
singapura	Singapura
saske	Ciência
mu'eske	Cosmologia
pluton	Plutão
lictenctain	Liechtenstein
.adolf. .itlyr.	Adolf Hitler
remoi ke terdi nunjamna	Segunda Guerra Mundial
ubuntus	Ubuntu
linuks	Linux
cmaci	Matemática
U2	U2
xigzo	Bóson de Higgs
serbias	Sérvia
lunra	Lua
sralygu'e	Austrália
termu'eske	Física
getygu'e	Argentina
perus	Peru
mivyske	Biologia
berti zei .dcosyn	Coreia do Norte
danlu kamjikyzi'e	Direitos dos animais
dalske	Zoologia
musyjda	Islão
spaske	Botânica
lex.wauensas.	Lech Wałęsa
lion	Lyon
ropno gunma	União Europeia
ninmu	Mulher
pemci	Poesia
badna	Banana
napoleon	Napoleão Bonaparte
tarci	Estrela
solri	Sol
lu'is. pastyr.	Louis Pasteur
viktor.ugos	Victor Hugo
poltu'a	Oceania
solri ciste	Sistema Solar
baltik. xamsi	Mar Báltico
cidro	Hidrogénio
solnavni	Hélio
roksodna	Lítio
jinmrberilo	Berílio
djedi	Dia
nicte	Noite
nanca	Ano
ctona'a	Século
tcadrkatovitse	Katowice
jicmrboro	Boro
.nikolaus.kopernikus	Nicolau Copérnico
tabno	Carbono
trano	Azoto
kijno	Oxigénio
plini	Planeta
zgike	Música
lil.	Lille
moskovas	Moscovo
li'orkliru	Flúor
ninynavni	Néon
sankt. peterburg	São Petersburgo
tcad	Chade
sodna	Sódio
lidgusyjinme	Magnésio
jinmrmalume	Alumínio
zis. poi cnino	Nova Zelândia
xingu'e	Índia
cancmu	Silício
fasysodna	Frâncio
sackycmu	Fósforo
tirse	Ferro
sliri	Enxofre
kliru	Cloro
.uiliam. cekspir.	William Shakespeare
laznynavni	Árgon
sodnrkali	Potássio
bogjinme	Cálcio
cnisa	Chumbo
mongolo	Mongólia
jinmrskandi	Escândio
jinmrtitani	Titânio
benesuel	Venezuela
caxmati	Xadrez
tcingis. xan	Gengis Khan
jinmrvanadi	Vanádio
rogjinme	Crômio
xirma	Equus ferus caballus
danlu	Animalia
surinam	Suriname
jinmrmanga	Manganês
paraguais	Paraguai
gudjanas	Guiana
larcu	Arte
ekuador	Equador
jinmlreni	Rênio
kolombias	Colômbia
ridjinme	Cobalto
jarjinme	Tungstênio
nikle	Níquel
bu'ojda	Budismo
bolivias	Bolívia
jinmrbosmi	Ósmio
tunka	Cobre
spati	Plantae
zinki	Zinco
leonardos.davintcis	Leonardo da Vinci
djamaikas	Jamaica
guatemal	Guatemala
onduras	Honduras
artik.zei braxamsi	Oceano Ártico
salbador	El Salvador
iran	Irão
raksygu'e	Iraque
kostarikas	Costa Rica
brogu'e	Israel
nowy.sontc	Nowy Sącz
panamas	Panamá
jorgu'e	Jordânia
nikaraguas	Nicarágua
ku,uait	Kuwait
luaos	Laos
lu'orgu'e	Líbano
oregon	Oregon
mejgu'e	Malásia
nepal	Nepal
kisygu'e	Paquistão
djogu'e	Arábia Saudita
stalin.	Josef Stalin
sixygu'e	Síria
platon	Platão
fasyjinme	Gálio
dotyjinme	Germânio
aristoteles	Aristóteles
tais	Tailândia
arseniko	Arsênio
lurcmu	Selênio
jinmrdiridi	Irídio
xunkliru	Bromo
jinmrplati	Platina
vietnam	Vietname
