Afrika	África
Jepang	Japão
Amérika Kidul	América do Sul
Norwégia	Noruega
Inggris	Inglaterra
Skotlandia	Escócia
Wales	País de Gales
Irlandia Lor	Irlanda do Norte
Republik Irlandia	República da Irlanda
Hongaria	Hungria
Spanyol	Espanha
Amérika Sarékat	Estados Unidos
Bèlgia	Bélgica
Luksemburg	Luxemburgo
Alam semesta	Universo
Bumi	Terra
Urip	Vida
Menungsa	Homo sapiens
Triskaidekafobia	Triscaidecafobia
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Pananggalan Maya	Calendário maia
Finlandia	Finlândia
Swédia	Suécia
Denmark	Dinamarca
Polandia	Polónia
Lituania	Lituânia
Italia	Itália
Swiss	Suíça
Austria	Áustria
Yunani	Grécia
Turki	Turquia
Bir	Cerveja
Portugal	Portugal
Éropah	Europa
Asia	Ásia
Amérika Lèr	América do Norte
Antartika	Antártida
Wikipedia	Wikipédia
Walanda	Países Baixos
Palanangan	Pênis
PHP	PHP
New York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Komputer	Computador
Bern	Berna
Jenéwa	Genebra
Zürich	Zurique
Internèt	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
Pencetak	Impressora
London	Londres
Kairo	Cairo
Lara sirah	Cefaleia
Alexandria	Alexandria
Apel	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mèksiko	México
Samudra Atlantika	Oceano Atlântico
Samudra Pasifik	Oceano Pacífico
California	Califórnia
Boston	Boston
Senèn	Segunda-feira
Januari	Janeiro
Februari	Fevereiro
Maret	Março
Mars	Marte (planeta)
Kénya	Quénia
Étiopia	Etiópia
Ghana	Gana
April	Abril
Mei	Maio
Juni	Junho
Juli	Julho
Agustus	Agosto
September	Setembro
Oktober	Outubro
November	Novembro
Desember	Dezembro
Anggara	Terça-feira
Rebo	Quarta-feira
Kemis	Quinta-feira
Jemuwah	Sexta-feira
Setu	Sábado
Ngaat	Domingo
Singa	Leão
Prancis	França
Asu	Canis lupus familiaris
Britania Raya	Reino Unido
Kucing	Gato
Républik Rakyat Cina	República Popular da China
Basa Prancis	Língua francesa
Wiktionary	Wikcionário
Iwak	Peixe
Etanol	Etanol
Brasil	Brasil
Alkohol	Álcool
François Hollande	François Hollande
Rusia	Rússia
Iwak lodan	Cetáceos
Pesagi	Quadrado
Segara	Mar
Segara Ireng	Mar Negro
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Quebec	Quebec
Pizza	Pizza
Pasta	Massa alimentícia
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Jerman	Alemanha
Bélarus	Bielorrússia
Inno di Mameli	Il Canto degli Italiani
Basa Jerman	Língua alemã
Islandia	Islândia
Hyang	Deus
Estonia	Estónia
David Cameron	David Cameron
Saturnus	Saturno (planeta)
Coklat	Chocolate
Perang	Guerra
0	0 (número)
George Walker Bush	George W. Bush
Pesagi dawa	Retângulo
Latvia	Letónia
Ukraina	Ucrânia
Céko	República Checa
Slowakia	Eslováquia
Slovénia	Eslovénia
Moldova	Moldávia
Rumania	Roménia
Bulgaria	Bulgária
Roma	Roma
Républik Makedonia	República da Macedónia
Albania	Albânia
Greenland	Gronelândia
Kroasia	Croácia
Bosnia-Herzegovina	Bósnia e Herzegovina
Azerbaijan	Azerbaijão
Andorra	Andorra
Siprus	Chipre
Georgia	Geórgia
Kazakhstan	Cazaquistão
Malta	Malta
Monako	Mónaco
Montenégro	Montenegro
Vatikan	Vaticano
San Marino	San Marino
Brussel	Cidade de Bruxelas
Kuba	Cuba
Belize	Belize
Menara Eiffel	Torre Eiffel
Barbadhos	Barbados
Volkswagen	Volkswagen
Papan tutul	Teclado (informática)
Indonésia	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Basa Turki	Língua turca
Afrika Kidul	África do Sul
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Aljazair	Argélia
Wikisource	Wikisource
Uzbekistan	Uzbequistão
Poznań	Poznań
Warsawa	Varsóvia
Anggur (ombèn-ombèn)	Vinho
Banyu	Água
Kayu	Madeira
Télévisi	Televisão
Claude Monet	Claude Monet
Chili	Chile
Yésus Kristus	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileu Galilei
Merkurius	Mercúrio (planeta)
Sajarah	História
Apple Inc.	Apple
Venus	Vénus (planeta)
Basa	Linguagem
Tresna	Amor
Galaksi	Galáxia
Yupiter	Júpiter (planeta)
Bima Sakti	Via Láctea
Big Bang	Big Bang
Uranus	Urano (planeta)
Bretagne	Bretanha
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Neptunus	Netuno (planeta)
Astronomi	Astronomia
Singapura	Singapura
Èlmu	Ciência
Kosmologi	Cosmologia
Pluto	Plutão
Maria	Maria (mãe de Jesus)
Louis IX saka Perancis	Luís IX de França
Liechtenstein	Liechtenstein
Olahraga	Desporto
Taman Nasional Yellowstone	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Perang Donya I	Primeira Guerra Mundial
Perang Donya II	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Wikibooks	Wikilivros
Wikiquote	Wikiquote
Wafel	Waffle
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Escópia
Gdynia	Gdynia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Estetino
Matématika	Matemática
U2	U2
Basa Latin	Língua latina
Bahrain	Bahrein
Arménia	Arménia
Serbia	Sérvia
Rembulan	Lua
Istanbul	Istambul
