Abĩrika	África
Japan	Japão
Amerika ya Kuthini	América do Sul
Ngeretha	Inglaterra
Macartsa	Hungria
United States	Estados Unidos
Binirandi	Finlândia
Cuindeni	Suécia
Ndenimaki	Dinamarca
Rithuĩnia	Lituânia
Itari	Itália
Ngiriki	Grécia
Takĩ	Turquia
Wikipedia	Wikipédia
Netharandi	Países Baixos
Los Angeles	Los Angeles
Kenya	Quénia
Ethiopia	Etiópia
Ghana	Gana
Baranja	França
Esperanto	Esperanto
China	República Popular da China
Wiktionary	Wikcionário
Brazil	Brasil
Racia	Rússia
Wikimedia	Wikimedia
Jimmy Wales	Jimmy Wales
Njĩrĩmani	Alemanha
Azerbaijan	Azerbaijão
Canimarino	San Marino
Intel	Intel Corporation
Indonesia	Indonésia
Abĩrika ya Kuthini	África do Sul
Algeria	Argélia
Mai	Água
Terebiceni	Televisão
Singapore	Singapura
Wikibooks	Wikilivros
Bahrain	Bahrein
Armenia	Arménia
İstanbul	Istambul
Australia	Austrália
Physics	Física
Argentina	Argentina
Peru	Peru
Bayorojĩ	Biologia
Mount Everest	Monte Everest
Napoleon	Napoleão Bonaparte
Hydrogen	Hidrogénio
Helium	Hélio
Lithium	Lítio
Beryllium	Berílio
Carbon	Carbono
Nitrogen	Azoto
Oxygen	Oxigénio
Chad	Chade
Sodium	Sódio
Magnesium	Magnésio
Aluminium	Alumínio
Silicon	Silício
Phosphorous	Fósforo
Iron	Ferro
Potasium	Potássio
Calcium	Cálcio
Titanium	Titânio
Ecuador	Equador
Copper	Cobre
Mĩmera	Plantae
Zinc	Zinco
Fungi	Fungi
Jamaica	Jamaica
Haiti	Haiti
Iraq	Iraque
Panama	Panamá
Yemen	Iémen
Virus	Vírus
Laos	Laos
Malaysia	Malásia
Burma	Myanmar
Pakistan	Paquistão
Sri Lanka	Sri Lanka
Syria	Síria
Thailand	Tailândia
United Arab Emirates	Emirados Árabes Unidos
Platinum	Platina
Vietnam	Vietname
South Korea	Coreia do Sul
Afghanistan	Afeganistão
Gold	Ouro
Bangladesh	Bangladesh
Angola	Angola
Bhutan	Butão
Brunei	Brunei
Tanzania	Tanzânia
Isaac Newton	Isaac Newton
Zimbabwe	Zimbabwe
Sũdana ya Kuthini	Sudão do Sul
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Republic of the Congo	República do Congo
Democratic Republic of the Congo	República Democrática do Congo
Djibouti	Djibouti
Gabon	Gabão
Gambia	Gâmbia
Côte d'Ivoire	Costa do Marfim
Cameroon	Camarões
Lesotho	Lesoto
Madagascar	Madagáscar
Malawi	Malawi
Namibia	Namíbia
Nigeria	Nigéria
Uganda	Uganda
Rwanda	Ruanda
Somalia	Somália
Julius Caesar	Júlio César
Sũdana	Sudão
Usain Bolt	Usain Bolt
Piemonte	Piemonte
Valle d'Aosta	Vale de Aosta
Emilia-Romagna	Emília-Romanha
Chicago	Chicago
Uetersen	Uetersen
Augustus	Augusto
Campania	Campânia
Puglia	Apúlia
Biblia	Bíblia
Kanitha wa Jesũ wa ma	Verdadeira Igreja de Jesus
Dong Hoi	Dong Hoi
Concepción	Concepción (Chile)
Microsoft	Microsoft
Kemu	Química
Ankara	Ancara
Nairobi	Nairóbi
Osasco	Osasco
Curitiba	Curitiba
Monzón	Monzón
Almazán	Almazán
Bill Gates	Bill Gates
Main Page	Wikipédia:Página principal
Cipiyu	Unidade central de processamento
Penza	Penza
Frank Lloyd Wright	Frank Lloyd Wright
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
Niels Bohr	Niels Bohr
Bengi ya Thĩ	Banco Mundial
Ndemookirathĩ	Democracia
Kĩheo ya Nobero	Prémio Nobel
Mount Kilimajaro	Kilimanjaro
Mammal	Mamíferos
WHO	Organização Mundial da Saúde
Thayathi cia ndũire	Ciências naturais
Tsunami	Tsunami
Logic	Lógica
Algorithm	Algoritmo
Thomas Edison	Thomas Edison
Michael Faraday	Michael Faraday
Henry Ford	Henry Ford
Cancún	Cancún
Atomu	Átomo
Erwin Schrodinger	Erwin Schrödinger
Ronald Reagan	Ronald Reagan
Metha Njokereri	Tabela periódica
Bacteria	Bactéria
Robot	Robô
Macini	Máquina
Injiniarini	Engenharia
Gatheti	Jornal
Microsoft obici	Microsoft Office
Bobbio	Bobbio
AIDS	Síndrome da imunodeficiência adquirida
Thiori ya Seti	Teoria dos conjuntos
Abacus	Ábaco
Piacenza	Placência
Taranto	Tarento
ISO	Organização Internacional para Padronização
Province ya Piacenza	Placência (província)
Province ya Taranto	Taranto (província)
Template:Link FA	Predefinição:Link FA
Wikipedia:Community Portal	Wikipédia:Esplanada
GPS	Sistema de posicionamento global
Friedrich Schiller	Friedrich Schiller
Moshchena	Mostchena
Paltoga	Paltoga
Kihuruta	Lepidoptera
Paradigm	Paradigma
Gĩgĩkũyũ	Língua kikuyu
Linus Torvalds	Linus Torvalds
Thayathi cia social	Ciências sociais
İzmir	Esmirna
Siligo	Siligo
Markup languages	Linguagem de marcação
IBM	IBM
John Michael Talbot	John Michael Talbot
Mawatho matano ma Newton	Leis de Newton
Radio Studio 54 Network	Rádio Studio 54 Network
Neural networks	Redes neurais biológicas
Montehermoso	Montehermoso
Ford	Ford Motor Company
Template:Commonscat	Predefinição:Commonscat
Toyota	Toyota Motor
Cartesian Coordinates	Sistema de coordenadas cartesiano
Agazzano	Agazzano
Alseno	Alseno
Besenzone	Besenzone
Bettola	Bettola
Borgonovo Val Tidone	Borgonovo Val Tidone
Cadeo	Cadeo
Calendasco	Calendasco
Caminata	Caminata
Caorso	Caorso
Carpaneto Piacentino	Carpaneto Piacentino
Castel San Giovanni	Castel San Giovanni
Castell'Arquato	Castell'Arquato
Castelvetro Piacentino	Castelvetro Piacentino
Cerignale	Cerignale
Coli	Coli
Corte Brugnatella	Corte Brugnatella
Cortemaggiore	Cortemaggiore
Farini	Farini
Ferriere	Ferriere
Fiorenzuola d'Arda	Fiorenzuola d'Arda
Gazzola	Gazzola
Gossolengo	Gossolengo
Gragnano Trebbiense	Gragnano Trebbiense
Gropparello	Gropparello
Lugagnano Val d'Arda	Lugagnano Val d'Arda
Monticelli d'Ongina	Monticelli d'Ongina
Morfasso	Morfasso
Nibbiano	Nibbiano
Ottone	Ottone
Pecorara	Pecorara
Pianello Val Tidone	Pianello Val Tidone
Piozzano	Piozzano
Podenzano	Podenzano
Ponte dell'Olio	Ponte dell'Olio
Pontenure	Pontenure
Rivergaro	Rivergaro
Rottofreno	Rottofreno
San Giorgio Piacentino	San Giorgio Piacentino
San Pietro in Cerro	San Pietro in Cerro
Sarmato	Sarmato
Travo	Travo
Vernasca	Vernasca
Vigolzone	Vigolzone
Villanova sull'Arda	Villanova sull'Arda
Zerba	Zerba
Ziano Piacentino	Ziano Piacentino
RFID	Identificação por radiofrequência
Cybernetics	Cibernética
Bioinformatics	Bioinformática
Euclidean Geometry	Geometria euclidiana
Macini ya Turing	Máquina de Turing
Silicon Valley	Vale do Silício
Maywood	Maywood (Illinois)
Kĩrĩnyaga	Monte Quénia
Boolean Logic	Álgebra booliana
Jomo Kenyatta	Jomo Kenyatta
Thomas Kuhn	Thomas Kuhn
Fujitsu	Fujitsu
Ũramati ũũgĩ	Gestão do conhecimento
Tectonics	Tectónica
Microscope	Microscópio
Tigranes II	Tigranes, o Grande
Cyberspace	Ciberespaço
Palestine	Estado da Palestina
Anggun	Anggun
Fuzzy Logic	Lógica difusa
Ũtuĩria na ũthondeki	Pesquisa e desenvolvimento
Ngũgĩ wa Thiong'o	Ngũgĩ wa Thiong'o
Gatagati mkoa, Kenya	Província Central (Quênia)
Bengi ya Gũkũria Abĩrika	Banco Africano de Desenvolvimento
Hithitorĩ ya Kemu	História da química
Dévanos	Dévanos
Caribbean	Caribe
Alentisque	Alentisque
Adradas	Adradas
Arenillas	Arenillas
Barcones	Barcones
Pozalmuro	Pozalmuro
Duruelo de la Sierra	Duruelo de la Sierra
Pinilla del Campo	Pinilla del Campo
Ucero	Ucero
Portillo de Soria	Portillo de Soria
Herrera de Soria	Herrera de Soria
Deza	Deza
Barca	Barca (Espanha)
Hinojosa del Campo	Hinojosa del Campo
Bayo-egekia	Biomimética
Category:German	Categoria:Alemanha
Category:Italy	Categoria:Itália
Category:USA	Categoria:Estados Unidos
Category:Urusi	Categoria:Rússia
Category:Spain	Categoria:Espanha
Category:Turkey	Categoria:Turquia
Category:South Korea	Categoria:Coreia do Sul
Category:Thayathi cia ndũire	Categoria:Ciências naturais
Category:Kemu	Categoria:Química
Category:Sport	Categoria:Desportos
Category:Thayathi	Categoria:Ciência
Wikipedia:Administrators	Wikipédia:Administradores
Category:Medicine	Categoria:Medicina
Category:Politics	Categoria:Política
Egypt	Egito
Template:Bot	Predefinição:Robô
