Afrika	África
Japani	Japão
Amerika Kujalleq	América do Sul
Norge	Noruega
Irlandi	República da Irlanda
Ungarni	Hungria
Spania	Espanha
Naalagaaffeqatigiit	Estados Unidos
Belgia	Bélgica
Luxembourg (nunaat)	Luxemburgo
Nunarsuaq	Terra
Finlandi	Finlândia
Svenskit Nunaat	Suécia
Danmarki	Dinamarca
Poleni	Polónia
Litaueni	Lituânia
Italia	Itália
Schweizi	Suíça
Østrigi	Áustria
Grækerit Nunaat	Grécia
Tyrkia	Turquia
Portugal	Portugal
Europa	Europa
Asia	Ásia
Amerika Avannarleq	América do Norte
Qalasersuaq Kujalleq	Antártida
Wikipedia	Wikipédia
Hollandi	Países Baixos
Berlin	Berlim
Barack Obama	Barack Obama
Uruguay	Uruguai
London	Londres
Cairo	Cairo
Alexandria	Alexandria
Paris	Paris
Mexico	México
Ataasinngorneq	Segunda-feira
Jannuaari	Janeiro
Februaari	Fevereiro
Martsi	Março
Kenya	Quénia
Apriili	Abril
Maaji	Maio
Juuni	Junho
Juuli	Julho
Aggusti	Agosto
Septemberi	Setembro
Oktoberi	Outubro
Novemberi	Novembro
Decemberi	Dezembro
Marlunngorneq	Terça-feira
Pingasunngorneq	Quarta-feira
Sisamanngorneq	Quinta-feira
Tallimanngorneq	Sexta-feira
Arfininngorneq	Sábado
Sapaat	Domingo
Franskit Nunaat	França
Esperanto	Esperanto
Tuluit Nunaat	Reino Unido
Kina	República Popular da China
Franskisut	Língua francesa
Brazil	Brasil
Ruslandi	Rússia
Toronto	Toronto
São Paulo	São Paulo (cidade)
Québec	Quebec
Wikimedia	Wikimedia
Tyskit Nunaat	Alemanha
Hvideruslandi	Bielorrússia
Tyskisut	Língua alemã
Islandi	Islândia
Estlandi	Estónia
Letlandi	Letónia
Ukraine	Ucrânia
Tjekkia	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Rumænia	Roménia
Bulgaria	Bulgária
Roma	Roma
Makedonia	República da Macedónia
