Afrika	África
Japonija	Japão
Pietų Amerika	América do Sul
Norvegija	Noruega
Anglija	Inglaterra
Škotija	Escócia
Velsas	País de Gales
Šiaurės Airija	Irlanda do Norte
Airija	República da Irlanda
Vengrija	Hungria
Ispanija	Espanha
Jungtinės Amerikos Valstijos	Estados Unidos
Belgija	Bélgica
Liuksemburgas	Luxemburgo
Visata	Universo
Žemė	Terra
Gyvybė	Vida
Mirtis	Morte
Žmogus	Homo sapiens
Laimė	Felicidade
George Washington	George Washington
Jack Bauer	Jack Bauer
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Majų kalendorius	Calendário maia
Suomija	Finlândia
Švedija	Suécia
Danija	Dinamarca
Lenkija	Polónia
Lietuva	Lituânia
Italija	Itália
Šveicarija	Suíça
Austrija	Áustria
Graikija	Grécia
Turkija	Turquia
Alus	Cerveja
Portugalija	Portugal
Europa	Europa
Azija	Ásia
Šiaurės Amerika	América do Norte
Antarktida	Antártida
Vikipedija	Wikipédia
Nyderlandai	Países Baixos
Varpa (lytinis organas)	Pênis
PHP	PHP
Niujorkas	Nova Iorque
Vašingtonas	Washington, D.C.
San Fransiskas	São Francisco (Califórnia)
Berlynas	Berlim
Los Andželas	Los Angeles
Boeing	Boeing
Airbus	Airbus
Kompiuteris	Computador
Bernas	Berna
Ženeva	Genebra
Ciurichas	Zurique
IRC	Internet Relay Chat
Internetas	Internet
Barack Obama	Barack Obama
Urugvajus	Uruguai
Bazelis	Basileia
Spausdintuvas	Impressora
MediaWiki	MediaWiki
Londonas	Londres
Kairas	Cairo
Galvos skausmas	Cefaleia
Aleksandrija	Alexandria
Aleksandrija (Virdžinija)	Alexandria (Virgínia)
Obuolys	Maçã
Paryžius	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meksika	México
Atlanto vandenynas	Oceano Atlântico
Ramusis vandenynas	Oceano Pacífico
Kalifornija	Califórnia
Bostonas	Boston
Pirmadienis	Segunda-feira
Erdvė	Espaço físico
Sausis	Janeiro
Vasaris	Fevereiro
Kovas	Março
Marsas (planeta)	Marte (planeta)
Marsas (mitologija)	Marte (mitologia)
Kenija	Quénia
Etiopija	Etiópia
Monarchas	Monarca
Gana	Gana
Balandis	Abril
Gegužė	Maio
Birželis	Junho
Liepa	Julho
Rugpjūtis	Agosto
Rugsėjis	Setembro
Spalis	Outubro
Lapkritis	Novembro
Gruodis	Dezembro
Antradienis	Terça-feira
Trečiadienis	Quarta-feira
Ketvirtadienis	Quinta-feira
Penktadienis	Sexta-feira
Šeštadienis	Sábado
Sekmadienis	Domingo
Rikis (šachmatai)	Bispo (xadrez)
Pėstininkas (šachmatai)	Peão (xadrez)
Žirgas (šachmatai)	Cavalo (xadrez)
Bokštas (šachmatai)	Torre (xadrez)
Karalius (šachmatai)	Rei (xadrez)
Valdovė	Dama (xadrez)
Liūtas	Leão
Prancūzija	França
Esperanto	Esperanto
Šuo	Canis lupus familiaris
Jungtinė Karalystė	Reino Unido
Katė	Gato
Kinijos Liaudies Respublika	República Popular da China
Prancūzų kalba	Língua francesa
Vikižodynas	Wikcionário
Žuvys	Peixe
Etanolis	Etanol
Alkoholinis gėrimas	Bebida alcoólica
Brazilija	Brasil
Alkoholis	Álcool
François Hollande	François Hollande
Rusija	Rússia
Banginiai	Cetáceos
Skaidula	Fibra
Šviesolaidis	Fibra óptica
Jorkšyras	Yorkshire (Inglaterra)
Kvadratas	Quadrado
Jūra	Mar
Juodoji jūra	Mar Negro
Pi	Pi
Pi (raidė)	Π
Wiki	Wiki
Torontas	Toronto
Alabama	Alabama
San Paulas	São Paulo (cidade)
San Paulas (valstija)	São Paulo
Kvebekas	Quebec
Pica	Pizza
Pasta (makaronai)	Massa alimentícia
Boeing 747	Boeing 747
Vikimedijos fondas	Wikimedia
Jimmy Wales	Jimmy Wales
Vokietija	Alemanha
Baltarusija	Bielorrússia
Larry Sanger	Larry Sanger
Italijos himnas	Il Canto degli Italiani
Vokiečių kalba	Língua alemã
Islandija	Islândia
Dievas	Deus
Estija	Estónia
David Cameron	David Cameron
Saturnas	Saturno (planeta)
Saturno žiedai	Anéis de Saturno
Šokoladas	Chocolate
Lėktuvas	Avião
Karas	Guerra
1 (skaičius)	Um
2 (skaičius)	Dois
3 (skaičius)	Três
4 (skaičius)	Quatro
5 (skaičius)	Cinco
0 (skaičius)	0 (número)
Begalybė	Infinito
George Walker Bush	George W. Bush
Stačiakampis	Retângulo
Latvija	Letónia
Ukraina	Ucrânia
Čekija	República Checa
Slovakija	Eslováquia
Slovėnija	Eslovénia
Vilnius	Vilnius
Moldavija	Moldávia
Rumunija	Roménia
