Āfrika	África
Japāna	Japão
Dienvidamerika	América do Sul
Norvēģija	Noruega
Anglija	Inglaterra
Skotija	Escócia
Velsa	País de Gales
Ziemeļīrija	Irlanda do Norte
Īrija	República da Irlanda
Ungārija	Hungria
Spānija	Espanha
Amerikas Savienotās Valstis	Estados Unidos
Beļģija	Bélgica
Luksemburga	Luxemburgo
Visums	Universo
Zeme	Terra
Dzīvība	Vida
Nāve	Morte
Cilvēks	Homo sapiens
Laime	Felicidade
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (canção de John Lennon)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finlândia
Zviedrija	Suécia
Dānija	Dinamarca
Polija	Polónia
Lietuva	Lituânia
Itālija	Itália
Šveice	Suíça
Austrija	Áustria
Grieķija	Grécia
Turcija	Turquia
Alus	Cerveja
Portugāle	Portugal
Eiropa	Europa
Āzija	Ásia
Ziemeļamerika	América do Norte
Antarktīda	Antártida
Vikipēdija	Wikipédia
All your base are belong to us	All your base are belong to us
Nīderlande	Países Baixos
Dzimumloceklis	Pênis
PHP	PHP
Ņujorka	Nova Iorque
Vašingtona	Washington, D.C.
Sanfrancisko	São Francisco (Califórnia)
Berlīne	Berlim
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Computador
Berne	Berna
Ženēva	Genebra
Cīrihe	Zurique
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguai
Bāzele	Basileia
Printeris	Impressora
MediaWiki	MediaWiki
Londona	Londres
Kaira	Cairo
Galvassāpes	Cefaleia
Aleksandrija	Alexandria
Aleksandrija (Virdžīnija)	Alexandria (Virgínia)
Ābols	Maçã
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android
Google	Google
Meksika	México
Atlantijas okeāns	Oceano Atlântico
Klusais okeāns	Oceano Pacífico
Kalifornija	Califórnia
Bostona	Boston
Pirmdiena	Segunda-feira
Telpa	Espaço físico
Janvāris	Janeiro
Februāris	Fevereiro
Marts	Março
Marss (planēta)	Marte (planeta)
Marss (mitoloģija)	Marte (mitologia)
Kenija	Quénia
Etiopija	Etiópia
Monarhs	Monarca
Gana	Gana
Aprīlis	Abril
Maijs	Maio
Jūnijs	Junho
Jūlijs	Julho
Augusts	Agosto
Septembris	Setembro
Oktobris	Outubro
Novembris	Novembro
Decembris	Dezembro
Otrdiena	Terça-feira
Trešdiena	Quarta-feira
Ceturtdiena	Quinta-feira
Piektdiena	Sexta-feira
Sestdiena	Sábado
Svētdiena	Domingo
Laidnis	Bispo (xadrez)
Bandinieks (šahs)	Peão (xadrez)
Zirdziņš (šahs)	Cavalo (xadrez)
Tornis (šahs)	Torre (xadrez)
Karalis (šahs)	Rei (xadrez)
Dāma (šahs)	Dama (xadrez)
Lauva	Leão
Francija	França
Esperanto	Esperanto
Suns	Canis lupus familiaris
Apvienotā Karaliste	Reino Unido
Kaķis	Gato
Ķīna	República Popular da China
Franču valoda	Língua francesa
Vikivārdnīca	Wikcionário
Zivis	Peixe
Etanols	Etanol
Alkoholiskie dzērieni	Bebida alcoólica
Brazīlija	Brasil
Spirti	Álcool
Fransuā Olands	François Hollande
Krievija	Rússia
Vaļveidīgie	Cetáceos
Optiskā šķiedra	Fibra óptica
Jorkšīra	Yorkshire (Inglaterra)
Kvadrāts	Quadrado
Jūra	Mar
Melnā jūra	Mar Negro
Pī	Pi
Pī (burts)	Π
Mango	Manga (fruta)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo (cidade)
Sanpaulu (štats)	São Paulo
Kvebeka	Quebec
Pica	Pizza
Pasta (ēdiens)	Massa alimentícia
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Džimijs Veilss	Jimmy Wales
Vācija	Alemanha
Baltkrievija	Bielorrússia
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	Língua alemã
Islande	Islândia
Dievs	Deus
Igaunija	Estónia
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturno (planeta)
Saturna gredzeni	Anéis de Saturno
Šokolāde	Chocolate
Lidmašīna	Avião
Karš	Guerra
1 (skaitlis)	Um
2 (skaitlis)	Dois
3 (skaitlis)	Três
4 (skaitlis)	Quatro
5 (skaitlis)	Cinco
Nulle	0 (número)
Bezgalība	Infinito
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Retângulo
Latvija	Letónia
Ukraina	Ucrânia
Čehija	República Checa
Slovākija	Eslováquia
Slovēnija	Eslovénia
Viļņa	Vilnius
Moldova	Moldávia
Rumānija	Roménia
Bulgārija	Bulgária
Roma	Roma
Maķedonija	República da Macedónia
Albānija	Albânia
Grenlande	Gronelândia
Horvātija	Croácia
Bosnija un Hercegovina	Bósnia e Herzegovina
Nūka	Nuuk
Azerbaidžāna	Azerbaijão
Andora	Andorra
Kipra	Chipre
Gruzija	Geórgia
Valonija	Valônia
Kazahstāna	Cazaquistão
Malta	Malta
Flandrija	Flandres
Monako	Mónaco
Melnkalne	Montenegro
Vatikāns	Vaticano
Sanmarīno	San Marino
Brisele	Cidade de Bruxelas
Briseles galvaspilsētas reģions	Bruxelas
Kuba	Cuba
Beliza	Belize
Eifeļa tornis	Torre Eiffel
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel Corporation
Bezvadu sakari	Comunicações sem fio
Datora klaviatūra	Teclado (informática)
Java (programmēšanas valoda)	Java (linguagem de programação)
Indonēzija	Indonésia
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Língua turca
Mandelbrota kopa	Conjunto de Mandelbrot
Dienvidāfrika	África do Sul
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Argélia
Wikisource	Wikisource
Viesuļvētra Sendija	Furacão Sandy (2012)
Uzbekistāna	Uzbequistão
Rasenes	Drosera
Poznaņa	Poznań
Taškenta	Tashkent
Varšava	Varsóvia
Eirovīzijas dziesmu konkurss	Festival Eurovisão da Canção
Modēna	Módena
Viskijs	Uísque
Vīns	Vinho
Ūdens	Água
Āda (materiāls)	Couro
Koksne	Madeira
Tūra	Tours
Televīzija	Televisão
Dzimums	Sexo
Pornogrāfija	Pornografia
Islandiešu valoda	Língua islandesa
Klods Monē	Claude Monet
Djego Velaskess	Diego Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesus
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileu Galilei
Merkurs (planēta)	Mercúrio (planeta)
Vēsture	História
Perlašēza kapsēta	Cemitério do Père-Lachaise
Apple Inc.	Apple
Venera (planēta)	Vénus (planeta)
Valoda	Linguagem
Mīlestība	Amor
Diktatūra	Ditadura
Galaktika	Galáxia
Jupiters (planēta)	Júpiter (planeta)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Via Láctea
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Big Bang
Urāns (planēta)	Urano (planeta)
Bretaņa (vēsturisks reģions)	Bretanha
Vikipēdija angļu valodā	Wikipédia em inglês
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Netuno (planeta)
Astronomija	Astronomia
Singapūra	Singapura
Zinātne	Ciência
Kosmoloģija	Cosmologia
Plutons (pundurplanēta)	Plutão
Monreāla	Montreal
Brīvā programmatūra	Software livre
Kempēra	Quimper
Jaunava Marija	Maria (mãe de Jesus)
Luijs IX	Luís IX de França
Lihtenšteina	Liechtenstein
Sports	Desporto
Kembridža	Cambridge
Jeloustonas nacionālais parks	Parque Nacional de Yellowstone
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Primeira Guerra Mundial
Otrais pasaules karš	Segunda Guerra Mundial
Ķelne	Colônia (Alemanha)
Korupcija	Corrupção
Wikibooks	Wikilivros
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversidade
Wikivoyage	Wikivoyage
Degvīns	Vodca
Pulkstenis	Relógio
Janka Kupala	Yanka Kupala
Ubuntu Linux	Ubuntu
Skopje	Escópia
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Estetino
Metroloģija	Metrologia
Matemātika	Matemática
U2	U2
Latīņu valoda	Língua latina
Bahreina	Bahrein
Armēnija	Arménia
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Escrita cuneiforme
Higsa bozons	Bóson de Higgs
Serbija	Sérvia
Mēness	Lua
Stambula	Istambul
Austrālija	Austrália
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Exobiologia
Fizika	Física
Argentīna	Argentina
Telesakari	Telecomunicações
Peru	Peru
Bioloģija	Biologia
Neidentificēts lidojošs objekts	Objeto voador não identificado
Ziemeļkoreja	Coreia do Norte
Kambodža	Camboja
Dzīvnieku tiesības	Direitos dos animais
Koipera josla	Cintura de Kuiper
Korāns	Alcorão
Dinozauri	Dinossauros
Zooloģija	Zoologia
Islāms	Islão
Bumbieres	Pera
Aleksandrijas bibliotēka	Biblioteca de Alexandria
Ščebžešina	Szczebrzeszyn
Ļubļana	Liubliana
Vonhocka	Wąchock
Salvadors Aljende	Salvador Allende
Botānika	Botânica
Lehs Valensa	Lech Wałęsa
Ritenis	Roda
Enciklopēdija (Denī Didro)	Encyclopédie
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Mente
Miers	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	União Europeia
Plovdiva	Plovdiv
Zvaigžņu kari	Star Wars
Rona-Alpi	Ródano-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Mulher
Sofija	Sófia
Akvedukts	Aqueduto
Dons Kihots	Dom Quixote
Dzeja	Poesia
Datorvīruss	Vírus de computador
Černobiļas AES katastrofa	Acidente nuclear de Chernobil
Hirosimas un Nagasaki bombardēšana	Bombardeamentos de Hiroshima e Nagasaki
Milāna	Milão
Draudzība	Amizade
Atmiņa	Memória
Arturs Rembo	Arthur Rimbaud
Turīna	Turim
Izkārnījumi	Fezes
Anālā atvere	Ânus
Citrons	Limão
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Banāni	Banana
Emīls Zolā	Émile Zola
Zieds	Flor
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Fossa das Marianas
Vladimirs Visockis	Vladimir Vysotsky
Everests	Monte Everest
Anatomija	Anatomia
Pilsēta	Cidade
Napoleons Bonaparts	Napoleão Bonaparte
Olimpa kalns (Marss)	Monte Olimpo (Marte)
Fizioloģija	Fisiologia
Zvaigzne	Estrela
Vezuvs	Vesúvio
Saule	Sol
Debesis	Céu
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Ano-luz
Ciems	Aldeia
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Waldemarsudde
Okeānija	Oceania
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Atletismo
Cenzūra	Censura
Saules sistēma	Sistema Solar
Baltijas jūra	Mar Báltico
Trieste	Trieste
Visla	Rio Vístula
Elizejas lauki	Champs-Élysées
Odera	Rio Oder
Zobi	Dente
Ūdeņradis	Hidrogénio
Petija Smita	Patti Smith
Hēlijs	Hélio
Elle	Inferno
Vikikrātuve	Wikimedia Commons
Šķīstītava	Purgatório
Angela Merkele	Angela Merkel
Litijs	Lítio
Berilijs	Berílio
Skaļrunis	Altifalante
Grāmata	Livro
Diennakts	Dia
Austrumtimora	Timor-Leste
Nakts	Noite
Gads	Ano
Gadsimts	Século
Lodza	Łódź
Monblāns	Monte Branco
Reina	Reno
Oslo	Oslo
Bonna	Bona
Visu svēto diena	Dia de Todos-os-Santos
Katovice	Katowice
Melnais caurums	Buraco negro
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay
Cerera	Ceres (planeta anão)
Lisabona	Lisboa
Žešova	Rzeszów
Ihiro Suzuki	Ichiro Suzuki
Haumeja	Haumea
Rona	Rio Ródano
Makemake	Makemake
Maikls Blumbergs	Michael Bloomberg
Sekss	Comportamento sexual humano
Erīda (pundurplanēta)	Éris (planeta anão)
Dubaija	Dubai
Lionels Mesi	Lionel Messi
Paduja	Pádua
Bors	Boro
Nikolajs Koperniks	Nicolau Copérnico
Versaļa	Versalhes
Ogleklis	Carbono
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Rio Volga
Slāpeklis	Azoto
Bergamo	Bérgamo
Skābeklis	Oxigénio
Milānas @@@u0026Internazionale"	Football Club Internazionale Milano
Nīls Jangs	Neil Young
Planēta	Planeta
Kleopatra	Cleópatra
Keita Buša	Kate Bush
Mūzika	Música
Venēcija	Veneza
Naruto	Naruto
Po (upe)	Rio Pó
Šarm eš Šeiha	Sharm el-Sheikh
Ņeva	Rio Neva
Termometrs	Termômetro
Renna	Rennes
Lille	Lille
Maskava	Moscovo
Fluors	Flúor
Itāļu valoda	Língua italiana
Čivava (suņu šķirne)	Chihuahua (cão)
Neons	Néon
Čivava	Chihuahua
Sanktpēterburga	São Petersburgo
Čada	Chade
Nātrijs	Sódio
Ziemeļi	Norte
Magnijs	Magnésio
Alumīnijs	Alumínio
Jaunzēlande	Nova Zelândia
Dienvidi	Sul
Indija	Índia
Silīcijs	Silício
Francijs	Frâncio
Tuvalu	Tuvalu
Fosfors	Fósforo
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Ferro
Tonga	Tonga
Rietumi	Oeste
Alesandro Volta	Alessandro Volta
Sērs	Enxofre
Samoa	Samoa
Austrumi	Leste
Zālamana Salas	Ilhas Salomão
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Cloro
Delfta	Delft
Papua-Jaungvineja	Papua-Nova Guiné
Viljams Šekspīrs	William Shakespeare
Fabula	Fábula
Dienvidholande	Holanda do Sul
Palau	Palau
Argons	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Contos de fadas
Ziemeļholande	Holanda do Norte
Mikronēzija (valsts)	Estados Federados da Micronésia
Kālijs	Potássio
Lionas @@@u0026Olympique"	Olympique Lyonnais
Zēlande (province)	Zelândia (Países Baixos)
Kalcijs	Cálcio
Flevolande	Flevolândia
Svins	Chumbo
Māršala Salas	Ilhas Marshall
Kiribati	Kiribati
Mongolija	Mongólia
Fidži	Fiji
Skandijs	Escândio
