Afrika	África
Jepun	Japão
Amerika Selatan	América do Sul
Norway	Noruega
England	Inglaterra
Scotland	Escócia
Wales	País de Gales
Ireland Utara	Irlanda do Norte
Republik Ireland	República da Irlanda
Hungary	Hungria
Sepanyol	Espanha
Amerika Syarikat	Estados Unidos
Belgium	Bélgica
Luxembourg	Luxemburgo
Alam semesta	Universo
Bumi	Terra
Hidupan	Vida
Ajal	Morte
Manusia	Homo sapiens
Kebahagiaan	Felicidade
Triskaidekafobia	Triscaidecafobia
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Takwim Maya	Calendário maia
Wikidata	Wikidata
Finland	Finlândia
Sweden	Suécia
Denmark	Dinamarca
Poland	Polónia
Lithuania	Lituânia
Itali	Itália
Switzerland	Suíça
Austria	Áustria
Greece	Grécia
Turki	Turquia
Bir	Cerveja
Portugal	Portugal
Eropah	Europa
Asia	Ásia
Amerika Utara	América do Norte
Antartika	Antártida
Wikipedia	Wikipédia
Belanda	Países Baixos
Zakar	Pênis
PHP	PHP
Bandar Raya New York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Komputer	Computador
Bern	Berna
Geneva	Genebra
Zürich	Zurique
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
Pencetak komputer	Impressora
MediaWiki	MediaWiki
London	Londres
Kaherah	Cairo
Sakit kepala	Cefaleia
Iskandariah	Alexandria
Epal	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android (sistem pengendalian)	Android
Google	Google
Mexico	México
Lautan Atlantik	Oceano Atlântico
Lautan Pasifik	Oceano Pacífico
California	Califórnia
Boston	Boston
Pneumonoultramikroskopiksilikovolkanokoniosis	Pneumoultramicroscopicossilicovulcanoconiose
Isnin	Segunda-feira
Ruang	Espaço físico
Januari	Janeiro
Februari	Fevereiro
Mac	Março
Marikh	Marte (planeta)
Kenya	Quénia
Habsyah	Etiópia
Ghana	Gana
April	Abril
Mei	Maio
Jun	Junho
Julai	Julho
Ogos	Agosto
September	Setembro
Oktober	Outubro
November	Novembro
Disember	Dezembro
Selasa	Terça-feira
Rabu	Quarta-feira
Khamis	Quinta-feira
Jumaat	Sexta-feira
Sabtu	Sábado
Ahad	Domingo
Raja (catur)	Rei (xadrez)
Permaisuri (catur)	Dama (xadrez)
Singa	Leão
Perancis	França
Bahasa Esperanto	Esperanto
Anjing	Canis lupus familiaris
United Kingdom	Reino Unido
Kucing	Gato
Republik Rakyat China	República Popular da China
Bahasa Perancis	Língua francesa
Wiktionary	Wikcionário
Ikan	Peixe
Etanol	Etanol
Arak	Bebida alcoólica
Brazil	Brasil
Alkohol	Álcool
François Hollande	François Hollande
Rusia	Rússia
Setasea	Cetáceos
Serat	Fibra
Gentian optik	Fibra óptica
Segi empat sama	Quadrado
Laut	Mar
Laut Hitam	Mar Negro
Pi	Pi
Pai (huruf)	Π
Mangga	Manga (fruta)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
São Paulo (negeri)	São Paulo
Quebec	Quebec
Piza	Pizza
Pasta	Massa alimentícia
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Jimmy Wales	Jimmy Wales
Jerman	Alemanha
Belarus	Bielorrússia
Larry Sanger	Larry Sanger
Il Canto degli Italiani	Il Canto degli Italiani
Bahasa Jerman	Língua alemã
Iceland	Islândia
Tuhan	Deus
Estonia	Estónia
David Cameron	David Cameron
Zuhal	Saturno (planeta)
Gelang Zuhal	Anéis de Saturno
Coklat	Chocolate
Pesawat kepak kaku	Avião
Peperangan	Guerra
1 (nombor)	Um
2 (nombor)	Dois
3 (nombor)	Três
4 (nombor)	Quatro
5 (nombor)	Cinco
0 (nombor)	0 (número)
Ketakterhinggaan	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Segi empat tepat	Retângulo
Sudut tegak	Ângulo reto
Latvia	Letónia
Ukraine	Ucrânia
Republik Czech	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Romania	Roménia
Bulgaria	Bulgária
Rom	Roma
Republik Macedonia	República da Macedónia
Albania	Albânia
Greenland	Gronelândia
Croatia	Croácia
Bosnia dan Herzegovina	Bósnia e Herzegovina
Nuuk	Nuuk
Azerbaijan	Azerbaijão
Andorra	Andorra
Cyprus	Chipre
Republik Georgia	Geórgia
Walonia	Valônia
Kazakhstan	Cazaquistão
Malta	Malta
Flanders	Flandres
Monaco	Mónaco
Montenegro	Montenegro
Kota Vatikan	Vaticano
San Marino	San Marino
Brussel	Bruxelas
Cuba	Cuba
Belize	Belize
Menara Eiffel	Torre Eiffel
Barbados	Barbados
Volkswagen	Volkswagen
Intel Corporation	Intel Corporation
Papan kekunci (pengkomputan)	Teclado (informática)
Java	Java (linguagem de programação)
Indonesia	Indonésia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Bahasa Turki	Língua turca
Afrika Selatan	África do Sul
Linkin Park	Linkin Park
Algeria	Argélia
Wikisource	Wikisource
Taufan Sandy	Furacão Sandy (2012)
Uzbekistan	Uzbequistão
Poznań	Poznań
Tashkent	Tashkent
Warsaw	Varsóvia
Modena	Módena
Wain	Vinho
Air	Água
Kayu	Madeira
Tours	Tours
Televisyen	Televisão
Terbitan lucah	Pornografia
Bahasa Iceland	Língua islandesa
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Chile
Vidov	Vidov
Jesus Christ	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileu Galilei
Utarid	Mercúrio (planeta)
Sejarah	História
Apple	Apple
Zuhrah	Vénus (planeta)
Bahasa	Linguagem
Cinta	Amor
Galaksi	Galáxia
Musytari	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Bima Sakti	Via Láctea
Letupan Besar	Big Bang
Uranus	Urano (planeta)
Bretagne	Bretanha
Wikipedia bahasa Inggeris	Wikipédia em inglês
