Africa	África
Xapon	Japão
Ixachitlān Huitztlāmpa	América do Sul
Noruega	Noruega
Inglatlālpan	Inglaterra
Wales	País de Gales
Irtlālpan	República da Irlanda
Hungria	Hungria
Caxtillān	Espanha
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	Estados Unidos
Belgica	Bélgica
Luxemburgo	Luxemburgo
Cemānāhuac	Universo
Tlālticpactli	Terra
Miquiztli	Morte
Tlācatl	Homo sapiens
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finlândia
Suecia	Suécia
Dinamarca	Dinamarca
Polonia	Polónia
Lituania	Lituânia
Italia	Itália
Suiza	Suíça
Austria	Áustria
Grecia	Grécia
Turquia	Turquia
Portugal	Portugal
Europan	Europa
Asia	Ásia
Ixachitlān Mictlāmpa	América do Norte
Antartida	Antártida
Huiquipedia	Wikipédia
Tlanitlālpan	Países Baixos
Tepōlli	Pênis
Āltepētl Yancuīc York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco, California	São Francisco (Califórnia)
Berlin	Berlim
Los Ángeles	Los Angeles
Chīuhpōhualhuaztli	Computador
Berna	Berna
Zurich	Zurique
Mātlatzālantli	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Londres	Londres
In Cairo	Cairo
Alexandria	Alexandria
Manzana	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	México
Ilhuicaātl Atlántico	Oceano Atlântico
Tēpāpāquiltiliztli Ilhuicaātl	Oceano Pacífico
California	Califórnia
Mētztlitōnal	Segunda-feira
Ic cē mētztli	Janeiro
Ic ōme mētztli	Fevereiro
Ic ēyi mētztli	Março
Chīchīlcītlalli	Marte (planeta)
Quenia	Quénia
Etiopia	Etiópia
Ghana	Gana
Ic nāuhtetl mētztli	Abril
Ic mācuīlli mētztli	Maio
Ic chicuacen mētztli	Junho
Ic chicōme mētztli	Julho
Ic chicuēyi mētztli	Agosto
Ic chiucnāhui mētztli	Setembro
Ic mahtlāctetl mētztli	Outubro
Ic mahtlāctetl oncē mētztli	Novembro
Ic mahtlāctetl omōme mētztli	Dezembro
Huītzilōpōchtōnal	Terça-feira
Yacatlipotōnal	Quarta-feira
Tezcatlipotōnal	Quinta-feira
Quetzalcōātōnal	Sexta-feira
Tlāloctitōnal	Sábado
Tōnatiuhtōnal	Domingo
Cuāmiztli	Leão
Francia	França
Esperantotlahtōlli	Esperanto
Itzcuintli	Canis lupus familiaris
Tlacetilīlli Huēyitlahtohcāyōtl	Reino Unido
Miztōn	Gato
China	República Popular da China
Franciatlahtōlli	Língua francesa
Michin	Peixe
Octli	Bebida alcoólica
Brasil	Brasil
Rusia	Rússia
Huēyātl	Mar
Π	Π
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo (cidade)
São Paulo (tlahtohcāyōtl)	São Paulo
Quebec	Quebec
Jimmy Wales	Jimmy Wales
Alemania	Alemanha
Belarus	Bielorrússia
Alemantlahtōlli	Língua alemã
Iztlālpan	Islândia
Estonia	Estónia
Tzitzimicītlalli	Saturno (planeta)
Xocolātl	Chocolate
Tepoztōtōtl	Avião
Cē (tlapōhualli)	Um
Ōme	Dois
Ēyi	Três
Nāhui	Quatro
Mācuīlli	Cinco
George W. Bush	George W. Bush
Letonia	Letónia
Ucrania	Ucrânia
Chequia	República Checa
Eslovaquia	Eslováquia
Eslovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Rumania	Roménia
Bulgaria	Bulgária
Roma	Roma
Tlācatlahtohcāyōtl Macedonia	República da Macedónia
Albania	Albânia
Groentlālpan	Gronelândia
Croacia	Croácia
Bosnia īhuān Hertzegovina	Bósnia e Herzegovina
Nuuk	Nuuk
Azerbaiyan	Azerbaijão
Andorra	Andorra
Chipre	Chipre
Georgia	Geórgia
Cazaquistan	Cazaquistão
Malta	Malta
Flandes	Flandres
Monaco	Mónaco
