Afrihkká	África
Jáhpan	Japão
Lulli-Amerihkká	América do Sul
Norga	Noruega
Englánda	Inglaterra
Irlánda	República da Irlanda
Ungára	Hungria
Spánia	Espanha
Amerihká ovttastuvvan stáhtat	Estados Unidos
Belgia	Bélgica
Luxemburg	Luxemburgo
Eana	Terra
Olmmoš	Homo sapiens
Suopma	Finlândia
Ruoŧŧa	Suécia
Dánmárku	Dinamarca
Polska	Polónia
Lietuva	Lituânia
Itália	Itália
Šveica	Suíça
Nuortariika	Áustria
Greika	Grécia
Durka	Turquia
Portugal	Portugal
Eurohpá	Europa
Ásia	Ásia
Davvi-Amerihkká	América do Norte
Antárktis	Antártida
Wikipedia	Wikipédia
Vuolleeatnamat	Países Baixos
Washington D.C.	Washington, D.C.
Berlin	Berlim
Los Angeles	Los Angeles
Bern	Berna
Barack Obama	Barack Obama
Uruguay	Uruguai
London	Londres
Kairo	Cairo
Paris	Paris
Meksiko	México
Atlánta	Oceano Atlântico
Jaskesáhpi	Oceano Pacífico
Kalifornia	Califórnia
Vuossárga	Segunda-feira
Ođđajagimánnu	Janeiro
Guovvamánnu	Fevereiro
Njukčamánnu	Março
Mars	Marte (planeta)
Kenia	Quénia
Etiopia	Etiópia
Ghana	Gana
Cuoŋománnu	Abril
Miessemánnu	Maio
Geassemánnu	Junho
Suoidnemánnu	Julho
Borgemánnu	Agosto
Čakčamánnu	Setembro
Golggotmánnu	Outubro
Skábmamánnu	Novembro
Juovlamánnu	Dezembro
Maŋŋebárga	Terça-feira
Gaskavahkku	Quarta-feira
Duorastat	Quinta-feira
Bearjadat	Sexta-feira
Lávvardat	Sábado
Sotnabeaivi	Domingo
Ledjon	Leão
Frankriika	França
Esperantogiella	Esperanto
Ovttastuvvan gonagasriika	Reino Unido
Bussá	Gato
Kiinná	República Popular da China
Fránskkagiella	Língua francesa
Brasilia	Brasil
François Hollande	François Hollande
Ruošša	Rússia
Hvaler	Cetáceos
Kvadráhta	Quadrado
Π	Π
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Duiska	Alemanha
Vilges-Ruošša	Bielorrússia
Duiskkagiella	Língua alemã
Islánda	Islândia
Estteeana	Estónia
Saturn	Saturno (planeta)
Agálašvuohta	Infinito
George W. Bush	George W. Bush
Rektáŋgel	Retângulo
Látvia	Letónia
Ukraina	Ucrânia
Čeahkka	República Checa
Slovakia	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
Románia	Roménia
Bulgária	Bulgária
Roma	Roma
Makedonia	República da Macedónia
Albánia	Albânia
