Afrika	África
Japonia	Japão
Amerika Jugore	América do Sul
Norvegjia	Noruega
Anglia	Inglaterra
Skocia	Escócia
Uellsi	País de Gales
Irlanda Veriore	Irlanda do Norte
Republika e Irlandës	República da Irlanda
Hungaria	Hungria
Spanja	Espanha
Shtetet e Bashkuara të Amerikës	Estados Unidos
Belgjika	Bélgica
Luksemburgu	Luxemburgo
Gjithësia	Universo
Toka	Terra
Jeta	Vida
Vdekja	Morte
Njeriu	Homo sapiens
Lumturia	Felicidade
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Numri i shtazës	Número da Besta
Gjuha lit	Leet
Stanley Kubrick	Stanley Kubrick
Kalendari maja	Calendário maia
Finlanda	Finlândia
Suedia	Suécia
Danimarka	Dinamarca
Polonia	Polónia
Lituania	Lituânia
Italia	Itália
Zvicra	Suíça
Austria	Áustria
Greqia	Grécia
Turqia	Turquia
Birra	Cerveja
Portugalia	Portugal
Evropa	Europa
Azia	Ásia
Amerika Veriore	América do Norte
Antarktiku	Antártida
Wikipedia	Wikipédia
All your base are belongs to us	All your base are belong to us
Vendet e Ulëta	Países Baixos
PHP	PHP
New York City	Nova Iorque
Uashington D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlini	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Kompjuteri	Computador
Berna	Berna
Gjeneva	Genebra
Zyrihu	Zurique
Internet Relay Chat	Internet Relay Chat
Interneti	Internet
Barack Obama	Barack Obama
Uruguaji	Uruguai
Bazeli	Basileia
Printeri	Impressora
Londra	Londres
Kajro	Cairo
Aleksandria	Alexandria
Molla	Maçã
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Android (sistemi operativ)	Android
Google	Google
Meksika	México
Oqeani Atlantik	Oceano Atlântico
Oqeani Paqësor	Oceano Pacífico
Kalifornia	Califórnia
Boston	Boston
E hëna	Segunda-feira
Hapësira	Espaço físico
Janari	Janeiro
Shkurti	Fevereiro
Marsi (muaj)	Março
Marsi	Marte (planeta)
Kenia	Quénia
Etiopia	Etiópia
Gana	Gana
Prilli	Abril
Maji	Maio
Qershori	Junho
Korriku	Julho
Gushti	Agosto
Shtatori	Setembro
Tetori	Outubro
Nëntori	Novembro
Dhjetori	Dezembro
E marta	Terça-feira
E mërkura	Quarta-feira
E enjtja	Quinta-feira
E premtja	Sexta-feira
E shtuna	Sábado
E diela	Domingo
Luani	Leão
Franca	França
Gjuha esperanto	Esperanto
Qeni	Canis lupus familiaris
Mbretëria e Bashkuar e Britanisë së Madhe dhe Irlandës së Veriut	Reino Unido
Macja	Gato
Kina	República Popular da China
Gjuha frënge	Língua francesa
Wiktionary	Wikcionário
Peshku	Peixe
Etanoli	Etanol
Pije alkoolike	Bebida alcoólica
Brazili	Brasil
Alkoolet	Álcool
François Hollande	François Hollande
Rusia	Rússia
Fibrat	Fibra
Fibrat optike	Fibra óptica
Katrori	Quadrado
Deti	Mar
Deti i Zi	Mar Negro
Numri pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sao Paulo (shtet)	São Paulo
Kebeku (provincë)	Quebec
Boeing 747	Boeing 747
Wikimedia	Wikimedia
Jimmy Wales	Jimmy Wales
Gjermania	Alemanha
Bjellorusia	Bielorrússia
Larry Sanger	Larry Sanger
Gjuha gjermane	Língua alemã
Islanda	Islândia
Perëndia	Deus
Estonia	Estónia
David Cameron	David Cameron
Saturni	Saturno (planeta)
Çokollata	Chocolate
Aeroplani	Avião
Lufta	Guerra
Dy (2)	Dois
Tre (3)	Três
Katër (4)	Quatro
Pesë (5)	Cinco
Pafundësia	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Letonia	Letónia
Ukraina	Ucrânia
Republika Çeke	República Checa
Sllovakia	Eslováquia
Sllovenia	Eslovénia
Vilnius	Vilnius
Moldavia	Moldávia
Rumania	Roménia
Bullgaria	Bulgária
Roma	Roma
Republika e Maqedonisë	República da Macedónia
Shqipëria	Albânia
Groenlanda	Gronelândia
Kroacia	Croácia
Bosnja dhe Hercegovina	Bósnia e Herzegovina
Nuuk	Nuuk
Azerbajxhani	Azerbaijão
Andorra	Andorra
Qiproja	Chipre
Gjeorgjia	Geórgia
Kazakistani	Cazaquistão
Malta	Malta
Monako	Mónaco
Mali i Zi	Montenegro
Vatikani	Vaticano
San Marino	San Marino
Brukseli	Bruxelas
Kuba	Cuba
Beliza	Belize
Kulla Eiffel	Torre Eiffel
Barbadosi	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Intel Corporation	Intel Corporation
Komunikimi pa tela	Comunicações sem fio
Tastiera kompjuterike	Teclado (informática)
Java (gjuhë programimi)	Java (linguagem de programação)
Indonezia	Indonésia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
