Aprika	África
Hapon	Japão
Timog Amerika	América do Sul
Noruwega	Noruega
Inglatera	Inglaterra
Scotland	Escócia
Wales	País de Gales
Kahilagaang Irlanda	Irlanda do Norte
Irlanda (bansa)	República da Irlanda
Unggarya	Hungria
Espanya	Espanha
Estados Unidos	Estados Unidos
Belhika	Bélgica
Luxembourg	Luxemburgo
Sansinukob	Universo
Daigdig	Terra
Buhay	Vida
Kamatayan	Morte
Tao	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Número da Besta
Stanley Kubrick	Stanley Kubrick
Finland	Finlândia
Sweden	Suécia
Dinamarka	Dinamarca
Poland	Polónia
Lithuania	Lituânia
Italya	Itália
Suwisa	Suíça
Austria	Áustria
Gresya	Grécia
Turkiya	Turquia
Serbesa	Cerveja
Portugal	Portugal
Europa	Europa
Asya	Ásia
Hilagang Amerika	América do Norte
Antartiko	Antártida
Wikipedia	Wikipédia
Netherlands	Países Baixos
Titi	Pênis
PHP	PHP
Lungsod ng New York	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco, California	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles, California	Los Angeles
Kompyuter	Computador
Berna	Berna
Hinebra	Genebra
Zürich	Zurique
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Londres	Londres
Cairo	Cairo
Alehandriya	Alexandria
Alexandria, Virginia	Alexandria (Virgínia)
Mansanas	Maçã
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Mehiko	México
Karagatang Atlantiko	Oceano Atlântico
Karagatang Pasipiko	Oceano Pacífico
California	Califórnia
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumoultramicroscopicossilicovulcanoconiose
Lunes	Segunda-feira
Enero	Janeiro
Pebrero	Fevereiro
Marso	Março
Marte	Marte (planeta)
Marte (mitolohiya)	Marte (mitologia)
Kenya	Quénia
Ethiopia	Etiópia
Ghana	Gana
Abril	Abril
Mayo	Maio
Hunyo	Junho
Hulyo	Julho
Agosto	Agosto
Setyembre	Setembro
Oktubre	Outubro
Nobyembre	Novembro
Disyembre	Dezembro
Martes	Terça-feira
