ئافرىقا	África
ياپونىيە	Japão
جەنۇبىي ئامېرىكا	América do Sul
نورۋېگىيە	Noruega
Shotlandiye	Escócia
Wélsh	País de Gales
ۋېنگرىيە	Hungria
ئىسپانىيە	Espanha
ئامېرىكا قوشما شىتاتلىرى	Estados Unidos
بېلگىيە	Bélgica
ليۇكسېمبۇرگ	Luxemburgo
يەر شارى	Terra
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finlândia
شۋېتسىيە	Suécia
دانىيە	Dinamarca
لەھىستان	Polónia
لىتۋا	Lituânia
ئىتالىيە	Itália
شۋېتسارىيە	Suíça
ئاۋستىرىيە	Áustria
گرېتسىيە	Grécia
تۈركىيە جۇمھۇرىيىتى	Turquia
پورتۇگالىيە	Portugal
ياۋروپا	Europa
ئاسىيا	Ásia
شىمالىي ئامېرىكا	América do Norte
ۋىكىپېدىيە	Wikipédia
گوللاندىيە	Países Baixos
Nyu York Shehiri	Nova Iorque
ۋاشىنگتون	Washington, D.C.
San Fransisko	São Francisco (Califórnia)
Bérlin	Berlim
Los Anjélés	Los Angeles
كومپيۇتېر	Computador
بېرن	Berna
Jenwe	Genebra
سيۇرىخ	Zurique
خەلقارالىق تور	Internet
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguai
London	Londres
كايرو	Cairo
ئالما	Maçã
پارىژ	Paris
مېكسىكا	México
Kaliforniye Shitati	Califórnia
Boston	Boston
مارس	Marte (planeta)
كېنىيە	Quénia
ئېفىئوپىيە	Etiópia
گانا جۇمھۇرىيىتى	Gana
شىر	Leão
فرانسىيە	França
ئېسپېرانتو	Esperanto
ئىت	Canis lupus familiaris
بۈيۈك بېرىتانىيە	Reino Unido
مۈشۈك	Gato
جۇڭخۇا خەلق جۇمھۇرىيىتى	República Popular da China
فرانسۇز تىلى	Língua francesa
برازىلىيە	Brasil
روسىيە	Rússia
قارا دېڭىز	Mar Negro
مانگو	Manga (fruta)
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo (cidade)
Kwébék	Quebec
ۋىكىپېدىيە ۋەخپى	Wikimedia
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Alemanha
بېلورۇسسىيە	Bielorrússia
نېمىس تىلى	Língua alemã
ئىسلاندىيە	Islândia
ئېستونىيە	Estónia
ساتۇرن	Saturno (planeta)
ئايروپىلان	Avião
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Letónia
ئۇكرائىنا	Ucrânia
چېخ جۇمھۇرىيەتى	República Checa
سلوۋاكىيە	Eslováquia
سلوۋېنىيە	Eslovénia
مولدوۋا	Moldávia
رۇمىنىيە	Roménia
بۇلغارىيە	Bulgária
Rim	Roma
ماكېدونىيە	República da Macedónia
ئالبانىيە	Albânia
گرېنلاندىيە	Gronelândia
كرودىيە	Croácia
بوسنىيە ۋە ھېرسېگوۋىنا	Bósnia e Herzegovina
ئەزەربەيجان	Azerbaijão
ئاندوررا	Andorra
سىپرۇس	Chipre
گرۇزىيە	Geórgia
قازاقىستان	Cazaquistão
مالتا	Malta
موناكو	Mónaco
چېرنوگورىيە	Montenegro
ۋاتىكان شەھىرى	Vaticano
سان مارىنو	San Marino
Bryussél	Bruxelas
كۇبا	Cuba
بېلىز	Belize
باربادوس	Barbados
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Língua turca
جەنۇبىي ئافرىقا	África do Sul
ئالجىرىيە	Argélia
ئۆزبېكىستان	Uzbequistão
Poznan	Poznań
Tashkent	Tashkent
Warshawa	Varsóvia
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Festival Eurovisão da Canção
تېلېۋىزور	Televisão
ئىسلاندىيە تىلى	Língua islandesa
چىلى	Chile
ئەيسا مەسىھ	Jesus
گالىلېي	Galileu Galilei
مېركۇرىي	Mercúrio (planeta)
تارىخ	História
ئالما شىركىتى	Apple
ۋېنېرا	Vénus (planeta)
مۇھاببەت	Amor
يۇپىتېر	Júpiter (planeta)
سامان يولى سىستىمېسى	Via Láctea
ئۇران (پلانىت)	Urano (planeta)
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Netuno (planeta)
ئاسترونومىيە	Astronomia
سىنگاپور	Singapura
پلۇتون	Plutão
Montréal	Montreal
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	Primeira Guerra Mundial
Kolon	Colônia (Alemanha)
سكوپليې	Escópia
Shchétsin	Estetino
لاتىن تىلى	Língua latina
بەھرېيىن	Bahrein
ئەرمېنىيە	Arménia
سېربىيە	Sérvia
Istanbul	Istambul
ئاۋستىرالىيە	Austrália
فىزىكا	Física
ئارگېنتىنا	Argentina
پېرۇ	Peru
بىئولوگىيە	Biologia
