IYunayithedi Steyitsi	Estados Unidos
Abantu	Homo sapiens
Switserii	Suíça
Ubhiya	Cerveja
Europe	Europa
I-Wikipedia	Wikipédia
ENetherlands	Países Baixos
Ikhompyutha	Computador
EGeneva	Genebra
Eyomqungu	Janeiro
Eyomdumba	Fevereiro
Eyokwindla	Março
Tshazimpuzi	Abril
Canzibe	Maio
Eyesilimela	Junho
Eyekhala	Julho
Eyethupha	Agosto
Eyomsintsi	Setembro
Eyedwarha	Outubro
Eyenkanga	Novembro
Eyomnga	Dezembro
Ingonyama	Leão
Inja	Canis lupus familiaris
Ikati	Gato
Intlanzi	Peixe
Brasil	Brasil
IRashiya	Rússia
IJamani	Alemanha
IsiJamani	Língua alemã
UThixo	Deus
Inqwelo-ntaka	Avião
Imfazwe	Guerra
Inye	Um
Zimbini	Dois
Zintathu	Três
Zine	Quatro
Zintlanu	Cinco
Iqanda	0 (número)
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
UMzantsi Afrika	África do Sul
Iveyn	Vinho
Amanzi	Água
IChile	Chile
UYesu Kristu	Jesus
Imbali	História
Ulwimi	Linguagem
IAstronomi	Astronomia
ISyensya	Ciência
Ezemidlalo	Desporto
I-Mathematics	Matemática
IFiziki	Física
IBayoloji	Biologia
Uxolo	Paz
UKat	Sol
Isibhakabhaka	Céu
Incwadi	Livro
Umculo	Música
William Shakespeare	William Shakespeare
UStevie Wonder	Stevie Wonder
Itshesi	Xadrez
IsiColombia	Colômbia
I-Fungi	Fungi
Unomathotholo	Rádio (telecomunicações)
Igolide	Ouro
I-South Pole	Polo Sul
Mauritania	Mauritânia
INigeria	Nigéria
Julius Caesar	Júlio César
Hamburg	Hamburgo
IJioloji	Geologia
IJerusalem	Jerusalém
E-Chicago	Chicago
UBusika	Inverno
EKwindla	Outono
Isiqhamo	Fruto
Imali	Dinheiro
Uetersen	Uetersen
Augustus	Augusto
IHanoveri (eJamani)	Hanôver
Frankfurt	Frankfurt am Main
IBhayibhile	Bíblia
Lenkonzo enyanisekileyo ka Krestu	Verdadeira Igreja de Jesus
IsiNgesi	Língua inglesa
Concepción	Concepción (Chile)
Końskowola	Końskowola
Inyoka	Serpente
IKhemistri	Química
1 Eyokwindla	1 de março
18 Eyekhala	18 de julho
Ibhola ekhatywayo	Futebol
UMichael Jackson	Michael Jackson
Ibhokhwe	Capra aegagrus hircus
Ukukhululeka	Liberdade
I-Nile	Rio Nilo
Category:Templates	Categoria:!Predefinições Wikipédia
E-Pitoli	Pretória
Umlambo	Rio
Osasco	Osasco
Curitiba	Curitiba
Confucius	Confúcio
Category:Izibalo	Categoria:Matemática
Yentaka	Aves
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Wikipédia:Página principal
Iqakamba	Críquete
Ibhola yombhoxo	Rugby
IKapa	Cidade do Cabo
EThekwini	Durban
Ifilosofi	Filosofia
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
I-Democracy	Democracia
Indlovu	Elefante
IsiHolani	Língua neerlandesa
Vladimir Putin	Vladimir Putin
Igazi	Sangue
Imvula	Chuva
Nelson Mandela	Nelson Mandela
I-logic	Lógica
Alexander Makedon	Alexandre, o Grande
Ikofu	Café
Intaba	Montanha
UbuKumkani bamaBritane	Império Britânico
Genesis	Gênesis
Eksodus	Livro do Êxodo
Iilwandle	Oceano
IChelsea	Chelsea Football Club
Umlomo	Boca
Ronald Reagan	Ronald Reagan
IsiZulu	Língua zulu
Ihagu	Sus
Umthi	Árvore
Inyama	Carne
Imifuno	Hortaliça
Amazwi alula omculo wefowuni	Telefone
Ityiwa	Sal de cozinha
I-Karate	Caratê
Iphepha	Papel
Google Maps	Google Maps
Isifo sephepha	Tuberculose
Umlinganiselo	Medição
IsiXhosa	Língua xhosa
IsiBhulu	Língua africâner
Itafile	Mesa
Template:Link FA	Predefinição:Link FA
Ithoba	Nove
FIFuRoni da Futboll	Copa do Mundo FIFA
Rafael Correa	Rafael Correa
ISosioloji	Sociologia
Sixhenxe	Sete
Sibhozo	Oito
Die Antwoord	Die Antwoord
Itswele	Cebola
Zintandathu	Seis
Paltoga	Paltoga
Entrena	Entrena
Ishumi	Dez
Iqwarhashe	Zebra
IsiPedi	SeSotho do norte
Valparaíso	Valparaíso (Chile)
IsiSotho	Língua soto do sul
UWhitney Houston	Whitney Houston
Imithetho elishumi	Dez Mandamentos
EGoli	Joanesburgo
USathane	Satanás
Ipolisa	Polícia
Umhlaba	Solo
Ibuzi	Rattus
Ishumi elinambini	Doze
Ishumi elinanye	Onze
Ishumi elinantathu	Treze
EBloemfontein	Bloemfontein
Ishumi elinane	Catorze
Ishumi elinantlanu	Quinze
Ishumi elinesibhozo	Dezoito
Ishumi elinesithoba	Dezanove
Ishumi elinesixhenxe	17 (número)
Ishumi elinesithandathu	Dezasseis
Amashumi amabini	Vinte
Nonkala	Caranguejo
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Mineração
Iziphaluka zaseBritane eziphesheya kolwandle	Territórios britânicos ultramarinos
Template:Commons Categories	Predefinição:Commonscat
Isifo sentsholongwane i-Ebola	Doença por vírus Ébola
Ixoxo	Anura
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	Copa do Mundo FIFA de 2014
IPhondo yaKwaZulu-Natala	KwaZulu-Natal
Ulwaluko	Circuncisão
Ibandla LamaBapist	Igreja Batista
IBhayi	Porto Elizabeth
IPhondo yaNtshona-Koloni	Cabo Ocidental
Umlenga	Anguilliformes
IPhondo laseMpuma-Koloni	Cabo Oriental
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Cabo Setentrional
IPhondo yaRhawuti	Gauteng
IPhondo yaLimpopo	Limpopo (África do Sul)
Zenzile Miriam Makeba	Miriam Makeba
Frederik de Klerk	Frederik Willem de Klerk
Kgalema Motlanthe	Kgalema Motlanthe
IPhondo yaseMntla-Ntshona	Noroeste (África do Sul)
Iankile	Âncora
2010 FIFuRoni da Futboll	Copa do Mundo FIFA de 2010
Idessert	Sobremesa
UBrenda Nokuzola Fassie	Brenda Fassie
UMarvin Gaye	Marvin Gaye
I-discourse	Discurso
Uluhlu lweendawo eMzantsi Afrika	Províncias da África do Sul
Robben island	Ilha Robben
Iipijama	Pijama
Freshlyground	Freshlyground
Iilwimi zaseAfrika	Línguas africanas
AmaXhosa	Xhosa
Pieter Willem Botha	Pieter Willem Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
IPhondo yaFreyistata	Estado Livre de Orange
Umlungu	Brancos
U-Winnie Madikizela Mandela	Winnie Madikizela-Mandela
Étienne Mourrut	Étienne Mourrut
FIFA	Federação Internacional de Futebol
UBilly Ocean	Billy Ocean
Marek Grechuta	Marek Grechuta
ULucky Dube	Lucky Dube
Mateyu	Evangelho segundo Mateus
Walter Sisulu	Walter Sisulu
Incwadi ka Mormoni	Livro de Mórmon
I-Transkei	Transkei
Izifundo zoguqulo	Estudos de tradução
ULebu Mathosa	Lebo Mathosa
Mangosuthu Buthelezi	Mangosuthu Buthelezi
I-Yunivesithi yasePitoli	Universidade de Pretória
E-UNISA	Universidade da África do Sul
Uluhlu lwabantu	Listas de pessoas
Ugqirha	Doutor em Medicina
E-Tiburon	Tiburon (Califórnia)
Mthatha	Mthatha
IYunivesithi yaseStellenbosch	Universidade de Stellenbosch
Category:IJamani	Categoria:Alemanha
Category:UMzantsi Afrika	Categoria:África do Sul
Iilwimi zaseMzantsi Afrika	Línguas da África do Sul
Category:ENetherlands	Categoria:Países Baixos
Category:ISyensya	Categoria:Ciência
Ukucinezeleka kwamanina	Violência contra a mulher
Qunu	Qunu
Umnenga	Baleia
Anaso Jobodwana	Anaso Jobodwana
Category:Stubs	Categoria:!Esboços
Category:Oluhlu	Categoria:Listas
Mount Frere	Mount Frere
Ezolimo	Ciências agrárias
Imfundo eMzantsi Afrika	Educação na África do Sul
Template:Tl	Predefinição:Ligação para predefinição
Category:Amazwe	Categoria:Países
Wikipedia:Requests for adminship	Wikipédia:Pedidos de administração
Category:Hidden categories	Categoria:!Categorias ocultas
Wikipedia:Vital 100	Wikipédia:Lista dos artigos que toda Wikipédia deve ter/Nível 2
I-Accounting	Contabilidade
Template:Bot	Predefinição:Robô
UThandiswa Mazwayi	Thandiswa
Template:Flagicon	Predefinição:ÍconeBandeira
Template:Documentation	Predefinição:Documentação
Wikipedia:Community Portal	Wikipédia:Portal comunitário
Category:User languages	Categoria:!Wikipedistas por idioma
Sung Jae-gi	Sung Jae-ki
IZenzo	Boas obras
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:Ukucima	Predefinição:ER
The Sims	The Sims
Category:Ulwimi	Categoria:Línguas
Category:Ikhalenda	Categoria:Calendários
Category:Wikipedia	Categoria:Wikipédia
Wikipedia:General disclaimer	Wikipédia:Aviso geral
