Hui-chiu	África
Ji̍t-pún	Japão
Lâm Bí-chiu	América do Sul
Lo̍k-ui-kok	Noruega
Eng-tē	Inglaterra
Scot-tē	Escócia
Cymru	País de Gales
Pak Éire	Irlanda do Norte
Éire	República da Irlanda
Magyar-kok	Hungria
Se-pan-gâ	Espanha
Bí-kok	Estados Unidos
Pí-lī-sî	Bélgica
Luxembourg	Luxemburgo
Ú-tiū	Universo
Tē-kiû	Terra
Sèⁿ-miā	Vida
Lâng	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Suomi	Finlândia
Sūi-tián	Suécia
Tan-kok	Dinamarca
Pho-lân	Polónia
Lietuva	Lituânia
Í-tāi-lī	Itália
Sūi-se	Suíça
Ò-tē-lī	Áustria
Hi-lia̍p	Grécia
Türkiye	Turquia
Bih-luh	Cerveja
Phû-tô-gâ	Portugal
Europa	Europa
A-chiu	Ásia
Pak Bí-chiu	América do Norte
Lâm-ke̍k Tāi-lio̍k	Antártida
Wikipedia	Wikipédia
All your base are belong to us	All your base are belong to us
Hô-lân-kok	Países Baixos
Im-keng	Pênis
PHP	PHP
New York Chhī	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlin	Berlim
Los Angeles	Los Angeles
Tiān-náu	Computador
Bern	Berna
Genève	Genebra
Zürich	Zurique
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
MediaWiki	MediaWiki
Lûn-tun	Londres
Cairo	Cairo
Alexandria	Alexandria
Phōng-kó	Maçã
Pa-lí	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Be̍k-se-ko	México
Tāi-se-iûⁿ	Oceano Atlântico
Thài-pêng-iûⁿ	Oceano Pacífico
California	Califórnia
Boston	Boston
Lé-pài-it	Segunda-feira
1 goe̍h	Janeiro
2 goe̍h	Fevereiro
3 goe̍h	Março
Hoé-chheⁿ	Marte (planeta)
Kenya	Quénia
Ityop'iya	Etiópia
Kun-chú	Monarca
Ghana	Gana
4 goe̍h	Abril
5 goe̍h	Maio
6 goe̍h	Junho
7 goe̍h	Julho
8 goe̍h	Agosto
9 goe̍h	Setembro
10 goe̍h	Outubro
11 goe̍h	Novembro
12 goe̍h	Dezembro
Lé-pài-jī	Terça-feira
Lé-pài-saⁿ	Quarta-feira
Lé-pài-sì	Quinta-feira
Lé-pài-gō͘	Sexta-feira
Lé-pài-la̍k	Sábado
Lé-pài-ji̍t	Domingo
Sai	Leão
Hoat-kok	França
Sè-kài-gí	Esperanto
Káu	Canis lupus familiaris
Liân-ha̍p Ông-kok	Reino Unido
Niau	Gato
Tiong-hoâ Jîn-bîn Kiōng-hô-kok	República Popular da China
Hoat-gí	Língua francesa
Wiktionary	Wikcionário
Hî	Peixe
It-sûn	Etanol
Chiú	Bebida alcoólica
Pa-se	Brasil
Lō͘-se-a	Rússia
Cetacea	Cetáceos
Chhian-ûi	Fibra
Hái	Mar
O͘-hái	Mar Negro
Îⁿ-chiu-lu̍t	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
São Paulo (chiu)	São Paulo
Québec	Quebec
Pizza	Pizza
Pasta	Massa alimentícia
Wikimedia	Wikimedia
Tek-kok	Alemanha
Pe̍h-Lō͘-se-a	Bielorrússia
Tek-gí	Língua alemã
Peng-tē	Islândia
Siōng-tè	Deus
Eesti	Estónia
David Cameron	David Cameron
Thó͘-chheⁿ	Saturno (planeta)
Thó͘-chheⁿ khoân	Anéis de Saturno
Chi-ku-la̍t	Chocolate
Hui-hêng-ki	Avião
Chiàn-cheng	Guerra
1	Um
2	Dois
3	Três
4	Quatro
5	Cinco
Bû-hān	Infinito
George W. Bush	George W. Bush
Latvia	Letónia
Ukrayina	Ucrânia
Česko	República Checa
Slovensko	Eslováquia
Slovenia	Eslovénia
Vilnius	Vilnius
Moldova	Moldávia
România	Roménia
Bulgariya	Bulgária
Lô-má	Roma
Makedonija Kiōng-hô-kok	República da Macedónia
Shqipëria	Albânia
Chheⁿ-tē	Gronelândia
Hrvatska	Croácia
Bosna kap Hercegovina	Bósnia e Herzegovina
Azerbaijan	Azerbaijão
Andorra	Andorra
Ku-pí-lō͘	Chipre
Sakartvelo	Geórgia
Wallonie	Valônia
Kazakhstan	Cazaquistão
Malta	Malta
Monaco	Mónaco
O͘-soaⁿ Kiōng-hô-kok	Montenegro
Vaticano	Vaticano
San Marino	San Marino
Brussels	Bruxelas
Cuba	Cuba
Belize	Belize
Eiffel Thah	Torre Eiffel
Barbados	Barbados
Volkswagen	Volkswagen
Java (thêng-sek gí-giân)	Java (linguagem de programação)
Ìn-nî	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Türkiye-gí	Língua turca
Lâm-hui-kok	África do Sul
Algeria	Argélia
Uzbekistan	Uzbequistão
Tashkent	Tashkent
Warszawa	Varsóvia
Phô-tô-chiú	Vinho
Chúi	Água
Chhâ	Madeira
Tiān-sī	Televisão
Peng-tē-gí	Língua islandesa
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chile	Chile
El Greco	El Greco
Iâ-so͘	Jesus
Galileo Galilei	Galileu Galilei
Chúi-chheⁿ	Mercúrio (planeta)
Le̍k-sú	História
Phōng-kó Kong-si	Apple
Kim-chheⁿ	Vénus (planeta)
Gí-giân	Linguagem
To̍k-chhâi	Ditadura
Gîn-hô	Galáxia
Bo̍k-chheⁿ	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Gîn-hô-hē	Via Láctea
Llanfair­pwllgwyngyll­gogerychwyrndrobwll­llantysiliogogogoch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Toā-phek-le̍k	Big Bang
Thiⁿ-ông-chheⁿ	Urano (planeta)
Eng-gí Wikipedia	Wikipédia em inglês
Nicolas Sarkozy	Nicolas Sarkozy
Hái-ông-chheⁿ	Netuno (planeta)
Thian-bûn-ha̍k	Astronomia
Sin-ka-pho	Singapura
Kho-ha̍k	Ciência
Mê-ông-chheⁿ	Plutão
Montréal	Montreal
Chū-iû nńg-thé	Software livre
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Tē-it-chhù Sè-kài Tāi-chiàn	Primeira Guerra Mundial
Tē-jī-chhù Sè-kài Tāi-chiàn	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Augusto Pinochet	Augusto Pinochet
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Skopje	Escópia
Linux	Linux
Bob Dylan	Bob Dylan
Sò͘-ha̍k	Matemática
Latin-gí	Língua latina
Bahrain	Bahrein
Hayastan	Arménia
Srbija	Sérvia
Go̍eh-niû	Lua
İstanbul	Istambul
Australia	Austrália
Bu̍t-lí-ha̍k	Física
Argentina	Argentina
Perú	Peru
Seng-bu̍t-ha̍k	Biologia
Tiâu-sián Bîn-chú-chú-gī Jîn-bîn Kiōng-hô-kok	Coreia do Norte
Kampuchea	Camboja
Kuiper-toà	Cintura de Kuiper
Qur'ān	Alcorão
Khióng-liông	Dinossauros
Tōng-bu̍t-ha̍k	Zoologia
I-su-lân-kàu	Islão
Lâi-á	Pera
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Si̍t-bu̍t-ha̍k	Botânica
Lech Wałęsa	Lech Wałęsa
Sim	Mente
Hô-pêng	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Europa Liân-bêng	União Europeia
Seng-kiû Tāi-chiàn	Star Wars
Rhône-Alpes	Ródano-Alpes
Cha-bó͘	Mulher
Sofia	Sófia
Don Quixote	Dom Quixote
Si	Poesia
Milano	Milão
Kì-ek	Memória
Torino	Turim
Lê-bóng	Limão
Charles Baudelaire	Charles Baudelaire
Kin-chio	Banana
Émile Zola	Émile Zola
Hoe	Flor
Mariana Hái-kau	Fossa das Marianas
Chomolangma Hong	Monte Everest
Kái-phò-ha̍k	Anatomia
